Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein
1,1,028,BESENKAMMERSPIELE,7000,11,7,1.571,636.3636363636364,Yes,Yes,Agree,"Die BESENKAMMERSPIELE haben alle 7 stimmberechtigten Personen überzeugt – ein kleines, aber einstimmig begeistertes Echo auf eine ungewöhnliche Winterthurer Kulturidee. Trotz einzelner offenen Fragen zu Anzahl Veranstaltungen, Reichweite und Budget wirkte das Projekt so stimmig und gut durchdacht, dass es klar unterstützt und schliesslich vom MES finanziert wurde.","The BESENKAMMERSPIELE project convinced all 7 people who voted – a small group, but with unanimous enthusiasm for this unusual cultural idea in Winterthur. Despite some open questions about the number of events, reach, and budget, the concept felt so coherent and well thought out that it clearly won support and was ultimately funded by MES.","Die Bewertung faellt mit 7 von 7 Stimmen sehr positiv und nahezu einhellig aus. Das Projekt wird als inhaltlich spannend und gut zum Programm passend wahrgenommen, insbesondere aufgrund des Bezugs zu Winterthur, der ungewoehnlichen Location und der thematischen Ausrichtung (Erfahren, Erleben, Anregen, Lernen, Ueberraschung). Vereinzelt werden jedoch Rueckfragen zur Verhaeltnismaessigkeit von Aufwand, Budget und geplanter Anzahl Veranstaltungen geaeussert sowie zur Zahl der Teilnehmenden pro Anlass. Insgesamt ueberwiegt klar die Zustimmung, bei gleichzeitig konstruktiven Hinweisen zur leichten Budgetreduktion und zur Reichweite.","With 7 out of 7 votes, the assessment is very positive and nearly unanimous. The project is seen as thematically exciting and well aligned with the program, especially due to its connection to Winterthur, the unusual location, and its focus on experience, inspiration, learning, and surprise. Some comments raise questions about the proportionality between effort, budget, and the small number of planned events, as well as the number of participants per event. Overall, clear support predominates, accompanied by constructive suggestions for a slight budget reduction and for increasing reach.","Das Projekt ""BESENKAMMERSPIELE"" (028) wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 636.36).","The project ""BESENKAMMERSPIELE"" (028) was funded by MES. It was affordable and efficient (value: 636.36).",4,3,0,0
2,2,013,Inklusive lauschig-Lesungen,8000,11,7,1.571,727.2727272727273,Yes,Yes,Agree,"Das Projekt 'Inklusive lauschig-Lesungen' hat alle 7 stimmberechtigten Personen überzeugt und zeigt, wie stark der Wunsch nach vielfältiger Kultur im öffentlichen Raum und inklusiven Angeboten in der Gemeinschaft verankert ist. Besonders geschätzt wurden die durchdachte Umsetzung, die direkte Verwendung des Budgets für inklusive Massnahmen und die Tatsache, dass mit mehreren Veranstaltungen eine breitere Gruppe erreicht wird.","The project 'Inklusive lauschig-Lesungen' convinced all 7 eligible voters and shows how strongly the community cares about diverse culture in public spaces and inclusive offerings. People especially appreciated the well-thought-out concept, the direct use of the budget for inclusive measures, and the fact that several events will make it accessible to a wider group.","Das Projekt erhält sehr hohe, nahezu einstimmige Unterstützung (7 von 7 Stimmen). Die Rückmeldungen betonen, dass es gut zu den Schwerpunkten Personenvielfalt und Kultur im öffentlichen Raum passt. Das Konzept wird als durchdacht und inklusiv wahrgenommen, da es Menschen einschliesst statt auszugrenzen und mit sieben Veranstaltungen eine breitere Gruppe erreicht. Zudem wird das Budget als sinnvoll und unmittelbar wirksam für inklusive Massnahmen beurteilt.","The project receives very high, nearly unanimous support (7 out of 7 votes). Feedback highlights that it fits well with the priorities of diversity of people and culture in public spaces. The concept is seen as well thought-out and inclusive, as it aims to include rather than exclude people and, with seven events, makes the offer accessible to a broader group. The budget is viewed as reasonable and directly contributing to inclusive measures.",Ergebnis fuer 'Inklusive lauschig-Lesungen' (013): Das Projekt wurde vom MES gefoerdert. Es war kostenguenstig und effizient (Wert: 727.27).,Outcome for 'Inklusive lauschig-Lesungen' (013): The project was funded by MES. It was affordable and efficient (Value: 727.27).,4,3,0,0
3,3,071,Chunsch z'Tisch?,8000,10,6,1.286,800.0,Yes,Yes,Agree,"«Chunsch z'Tisch?» hat mit 6 von 7 Stimmen sehr viel Rückhalt bekommen und gezeigt, dass die Idee eines gemeinsamen Tischs für Menschen mit Behinderungen in der Gemeinschaft stark resoniert. Trotz einiger offenen Fragen zu Budget, Reichweite und Einbindung von Menschen ohne Behinderungen konnte das Projekt viele überzeugen und wurde als preiswert und wirkungsvoll finanziert.","“Chunsch z'Tisch?” received strong backing with 6 out of 7 votes, showing that the idea of a shared table for people with disabilities really resonated with the community. Despite some open questions about budget, scale, and how to include people without disabilities, the project convinced many voters and was funded as a low-cost and effective initiative.","Das Projekt 'Chunsch z'Tisch?' (071) stösst mit 6 von 7 Stimmen auf eine sehr hohe, nahezu einstimmige Unterstützung. Der Mittelwert von 1.29 spiegelt diese klare Zustimmung quantitativ wider. In den Rückmeldungen werden hauptsächlich zwei kritische Punkte angesprochen: Einerseits wird vorgeschlagen, das Budget um rund 20 % zu reduzieren, um es besser ins Verhältnis zu den Beiträgen der Geldgeber (Stadt Winterthur und Beatrice Ederer Stiftung) zu setzen. Andererseits bestehen Bedenken, dass es sich um ein einmaliges Angebot für eine relativ kleine Zielgruppe handelt, wobei unklar bleibt, wie viele Personen tatsächlich am langen Tisch Platz finden. Zudem wird gefragt, wie Menschen ohne Behinderungen gezielt eingeladen werden, um eine inklusive Teilnahme sicherzustellen. Insgesamt überwiegt aber deutlich die positive Haltung zum Projekt, bei gleichzeitig konstruktiven Hinweisen zur Optimierung von Budget, Reichweite und Inklusion.","The project 'Chunsch z'Tisch?' (071) enjoys very high, nearly unanimous support, with 6 out of 7 voters in favor. The mean score of 1.29 quantitatively reflects this strong approval. The written feedback raises mainly two critical aspects: First, a suggestion to reduce the budget by about 20% so that it aligns better with the contributions from the funders (City of Winterthur and Beatrice Ederer Foundation). Second, concerns that this is a one-off project for a relatively small target group, with questions about how many people can actually be seated at the long table. There is also a question about how people without disabilities will be specifically invited to ensure inclusive participation. Overall, the sentiment is clearly positive, with constructive remarks focused on optimizing budget, reach, and inclusion.",Ergebnis für «Chunsch z'Tisch?» (071): Das Projekt wurde vom MES finanziert. Es war preiswert und effizient (Wert: 800.00).,Outcome for 'Chunsch z'Tisch?' (071): The project was funded by MES. It was affordable and efficient (value: 800.00).,4,2,1,0
4,4,082,"Materia - ein klanglicher und musikalischer Blick auf Material, Erde und Ambiguität des Existierens.",400,9,5,1.0,44.44444444444444,Yes,Yes,Agree,"Mit 5 von 7 Stimmen hat dieses Projekt eine klare und herzliche Unterstuetzung in der Gruppe gefunden – die klangliche Auseinandersetzung mit Material, Erde und dem ambiguen Dasein hat viele beruehrt. Die kritischen Nachfragen zu Anzahl Auffuehrungen und Publikumsumfang zeigen vor allem, dass das Interesse gross ist und manche sich wuenschen, dass dieses Erlebnis noch mit mehr Menschen geteilt werden kann.","With 5 out of 7 votes, this project received clear and heartfelt support from the group – its sonic exploration of material, earth, and the ambiguity of existence resonated strongly. The critical questions about the number of performances and audience size mainly show how much interest there is and that some people would love to see this experience shared with even more listeners.","Das Projekt stoesst auf sehr hohe Zustimmung: 5 von 7 Stimmen unterstuetzen es klar. Der mittlere Score liegt bei 1.00 und spiegelt diese starke positive Grundhaltung wider. Der vorliegende Kommentar ist insgesamt wohlwollend: Das Honorar wird als angemessen empfunden, gleichzeitig wird bedauert, dass es nur zwei Auffuehrungen gibt und angeregt, mehr Konzerte zu planen. Zudem besteht Interesse an Informationen zur moeglichen Publikumszahl pro Auffuehrung.","The project enjoys very strong support: 5 out of 7 voters clearly back it. The mean score of 1.00 reflects this strong positive overall attitude. The available comment is generally supportive: the fee is considered appropriate, while it is seen as a pity that there are only two performances, with a suggestion to schedule more concerts. There is also interest in information about the potential audience capacity per performance.","Das Projekt 'Materia - ein klanglicher und musikalischer Blick auf Material, Erde und Ambiguitaet des Existierens.' (082) wurde von MES gefoerdert. Es war kostenguenstig und effizient (Wert: 44.44).","The project 'Materia - a sonic and musical look at material, earth and the ambiguity of existence.' (082) was funded by MES. It was affordable and efficient (Value: 44.44).",4,1,2,0
5,5,053,Das gehört gehört - 2. Staffel,5480,9,6,1.0,608.8888888888889,Yes,Yes,Agree,"Das Projekt 'Das gehört gehört - 2. Staffel' hat mit 6 von 7 Stimmen deutlich gezeigt, wie stark die Idee in der Community verankert ist: Mit einem vergleichsweise kleinen Budget macht es ein wenig bekanntes Thema für ein breiteres Publikum zugänglich und wurde dafür sehr geschätzt. Trotz einzelner Rückfragen etwa zur Website war klar, dass das Konzept viele überzeugte – gerade weil es Mut zur Überraschung zeigt und Kultur im digitalen Raum erlebbar macht.","The project 'Das gehört gehört - 2. Staffel' clearly resonated with the community, with 6 out of 7 people supporting it: with a relatively small budget, it opens up a little-known topic to a wider audience and was highly valued for that. Despite a few open questions, such as about the website, the concept convinced many voters – especially because it dares to surprise and makes culture tangible in the digital space.","Die Zustimmung zum Projekt ist mit 6 von 7 Stimmen nahezu einstimmig und sehr hoch. Die Kommentare sind insgesamt positiv: Das Konzept des Podcasts wird als ansprechend bewertet, insbesondere weil mit einem relativ kleinen Betrag ein wenig bekanntes Thema einer breiteren Bevoelkerung zugaenglich gemacht wird. Das Projekt wird inhaltlich den Kategorien „Mut zur Ueberraschung“, „Kultur in der (digitalen) Oeffentlichkeit“ sowie „Lernen und Erfahren“ zugeordnet. Kritisch angemerkt wird lediglich eine inkorrekte Webadresse und der Hinweis, dass fuer die Bekanntmachung des Podcasts wohl einiges an Marketing noetig sein wird, was die grundsaetzlich positive Haltung jedoch nicht mindert.","Support for the project is very high and nearly unanimous, with 6 out of 7 votes in favor. Overall, the comments are positive: the podcast concept is seen as appealing, especially because a relatively small amount of funding can make a little-known topic accessible to a broader audience. The project is thematically associated with “courage to surprise,” “culture in the (digital) public sphere,” and “learning and experiencing.” The only critical notes concern an incorrect website address and the expectation that substantial marketing will be needed to raise awareness of the podcast, which does not diminish the generally positive stance.",Das Projekt 'Das gehört gehört - 2. Staffel' (053) wurde von MES finanziert. Es war kostengünstig und effizient (Wert: 608.89).,The project 'Das gehört gehört - Season 2' (053) was funded by MES. It was affordable and efficient (value: 608.89).,3,3,0,1
6,8,023,Jungkunst für alle,10000,7,6,0.857,1428.5714285714287,Yes,No,Disagree,"«Jungkunst für alle» hat mit 6 von 7 Stimmen eine starke Unterstützung erhalten und gezeigt, dass es in der Community als sinnvolles, zugängliches Kulturangebot wahrgenommen wird. Trotz einzelnen offenen Fragen zu Budget und Finanzierung konnte das Projekt viele überzeugen und wurde dank seiner Kosteneffizienz vom MES finanziert.","“Jungkunst für alle” received strong backing with 6 out of 7 people in favor, showing that the community sees it as a meaningful and accessible cultural event. Despite some open questions about budget and financing, the project convinced many voters and was funded by the MES thanks to its cost-efficiency.","Die Zustimmung fuer das Projekt ist mit 6 von 7 Stimmen sehr hoch bzw. nahezu einstimmig. Der mittlere Score von 0.86 bestaetigt diese starke Unterstuetzung. In den Kommentaren wird das etablierte, attraktive Programm und das 20-jaehrige Jubilaeum positiv hervorgehoben, ebenso die gute Passung zum Ziel der Personenvielfalt. Kritische Anmerkungen beziehen sich vor allem auf das Budget (Vorschlag einer Reduktion um 20 %, Frage nach Ticketeinnahmen) sowie die Meinung, dass die Finanzierung des Lifts eher durch einen Liftlieferanten erfolgen sollte und dass das Projekt nicht besonders innovativ sei. Insgesamt ist die Stimmung klar positiv mit einzelnen, vor allem budgetbezogenen Vorbehalten.","Support for the project is very high, with 6 out of 7 votes, i.e. nearly unanimous approval. The mean score of 0.86 confirms this strong backing. Comments highlight positively the established and attractive program and the 20-year anniversary as evidence of the event’s appeal, as well as its good fit with the goal of diversity of participants. Critical remarks focus mainly on the budget (suggested 20% reduction, questions about ticket revenues) and the view that the elevator for accessibility should rather be financed by an elevator supplier and that the project is not particularly innovative. Overall, sentiment is clearly positive, with some mainly budget-related reservations.",Ergebnis für «Jungkunst für alle» (023): Das Projekt wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 1428.57).,Outcome for 'Jungkunst für alle' (023): The project was funded by MES. It was affordable and efficient (Value: 1428.57).,1,5,1,0
7,10,105,FRAUENSACHE/Chorische SUITE_ZH ,2000,6,5,0.571,333.3333333333333,Yes,No,Disagree,"FRAUENSACHE/Chorische SUITE_ZH hat mit der Unterstuetzung von 5 von 7 Personen klar gezeigt, dass es in der Community gut verankert ist und mit seinem aktuellen Thema und den konkreten Konzerten viele Menschen anspricht. Besonders geschaetzt wurden die sichtbare Praesenz im oeffentlichen Raum, die engagierte Suche nach Finanzierung und der effiziente Einsatz der Mittel, mit dem das Projekt viel Wirkung zu einem tiefen Budget erzielt.","FRAUENSACHE/Chorische SUITE_ZH clearly showed strong backing in the community, with 5 out of 7 people supporting it and appreciating its relevant theme and concrete concert plans. People especially valued its presence in public space, the active search for funding, and the efficient use of resources, which allowed the project to create significant impact with a modest budget.","Die Stimmung gegenueber dem Projekt ist sehr positiv, mit einer sehr hohen Unterstuetzung von 5 von 7 Stimmen. Die Kommentare heben hervor, dass das Projekt gut zur oeffentlichen Kultur passt, bereits drei konkrete Konzerte geplant sind und aktiv nach finanzieller Unterstuetzung gesucht wird. Besonders positiv bewertet werden die Aktualitaet des Themas und die ansprechende Art, damit Aufmerksamkeit zu generieren.","The sentiment toward the project is very positive, with a very high level of support at 5 out of 7 votes. Comments emphasize that the project fits well with public cultural life, has three concrete concerts planned, and is proactively seeking financial support. The topical relevance of the theme and the appealing way of generating awareness are viewed particularly positively.",Das Projekt FRAUENSACHE/Chorische SUITE_ZH (105) wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 333.33).,The project FRAUENSACHE/Chorische SUITE_ZH (105) was funded by MES. It was affordable and efficient (value: 333.33).,1,4,2,0
8,16,140,Euses Salzhus,6000,5,4,0.143,1503.8672438672434,Yes,No,Disagree,"Euses Salzhus hat mit 4 von 7 Stimmen eine klare, wenn auch nicht einstimmige Unterstuetzung in der Gemeinschaft gefunden und konnte dank seines guten Verhaeltnisses von Kosten und Wirkung vom MES finanziert werden. Auch wenn einzelne Punkte wie Zielgruppe, Dauer und Anzahl Treffen kritisch hinterfragt wurden, hat das Projekt insgesamt genug Menschen ueberzeugt, um umgesetzt zu werden.","Euses Salzhus received clear, though not unanimous, support from the community with 4 out of 7 people backing it, and was funded by the MES thanks to its favourable balance between cost and impact. Even though some aspects such as target group, duration, and number of meetings were questioned, the project still convinced enough people overall to be realized.","Das Projekt 'Euses Salzhus' weist mit 4 von 7 Stimmen eine relativ hohe Zustimmungsrate auf. Die durchschnittliche Bewertung ist mit 0.14 jedoch eher verhalten. In den Kommentaren werden insbesondere die geringe Groesse bzw. Dauer (nur ein Abend), eine sehr spezifische Zielgruppe, die hohen Kosten sowie Unklarheiten zur Anzahl der Treffen und damit zum Budget kritisch angesprochen. Insgesamt zeigt sich also eine knappe, aber vorhandene Unterstuetzung in der Abstimmung, waehrend in den Rueckmeldungen vor allem Kosten-Nutzen-Verhaeltnis und Projektumfang hinterfragt werden.","The project 'Euses Salzhus' shows a relatively high approval rate with 4 out of 7 votes. However, the average score of 0.14 is rather modest. In the comments, respondents mainly criticize the small scale or one-evening format, the very specific target group, the high costs, and unclear information about the number of meetings and thus the budget. Overall, there is a narrow but present level of support in the voting results, while the feedback primarily questions the cost-benefit ratio and the scope of the project.",Ergebnis fuer 'Euses Salzhus' (140): Das Projekt wurde vom MES finanziert. Es war bezahlbar und effizient (Wert: 1503.87).,Outcome for 'Euses Salzhus' (140): The project was funded by MES. It was affordable and efficient (Value: 1503.87).,1,3,2,1
9,12,032,Kulthur – Bunte Kulturstadt Winterthur | Kulturstadtkarte für Winterthur,14970,7,5,0.571,,No,No,Agree,"Kulthur – die bunte Kulturstadtkarte für Winterthur – fand bei einer klaren Mehrheit grossen Anklang und wurde als schöner Beitrag zur Sichtbarkeit der vielfältigen Kulturangebote wahrgenommen, auch wenn einzelne Stimmen Fragen zur Nachhaltigkeit und Aktualität einer gedruckten Karte einbrachten. Trotz ihrer vielen Unterstützerinnen und Unterstützer konnte die Kulturkarte dieses Mal leider nicht realisiert werden, weil das verfügbare Gesamtbudget nicht ausreichte und andere Prioritäten berücksichtigt werden mussten.","Kulthur – the colourful culture city map for Winterthur – resonated strongly with a clear majority and was seen as a beautiful way to make the city’s diverse cultural projects more visible, even though some voices raised questions about the sustainability and up-to-dateness of a printed map. Despite its many supporters, the project unfortunately could not be realized this time because the available overall budget was not sufficient and other priorities had to be taken into account.","Die Zustimmung zum Projekt ist mit 5 von 7 Stimmen sehr hoch und nahezu einhellig. Die durchschnittliche Bewertung liegt im positiven Bereich (0.57). In den Kommentaren wird einerseits kritisiert, dass eine gedruckte Kulturkarte nicht nachhaltig sei, rasch veralte und angesichts der bereits bestehenden Verbindung zu Coucou sowie der Stadtgroesse von Winterthur als verzichtbar erscheine. Andererseits wird das Projekt als schoener Beitrag zur Sichtbarkeit der vielfaeltigen Kulturprojekte in Winterthur gewuerdigt und als gut passend zum Thema Oeffentlichkeit bezeichnet. Insgesamt ueberwiegt klar die positive Grundhaltung gegenueber dem Projekt.","Support for the project is very high at 5 out of 7 votes, indicating nearly unanimous approval. The average score is in the positive range (0.57). In the comments, one side criticizes that a printed culture map is not sustainable, becomes outdated quickly, and may be unnecessary given Winterthur’s size and the existing connection to Coucou. On the other hand, the project is praised as a nice contribution to making the diversity of cultural projects in Winterthur more visible and as a good fit with the theme of public visibility. Overall, the positive stance toward the project clearly predominates.","Das Projekt «Kulthur – Bunte Kulturstadt Winterthur | Kulturstadtkarte für Winterthur» (032) wurde nicht vom MES finanziert. Die 5 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 13’015.35 CHF und damit nicht genug, um die benoetigten 14’970 CHF zu decken.","The project “Kulthur – Bunte Kulturstadt Winterthur | Kulturstadtkarte für Winterthur” (032) was not funded by MES. Its 5 supporters had a combined budget of 13,015.35 CHF, which was not enough to cover the required 14,970 CHF.",2,3,1,1
10,6,111,HIDDEN SOUNDS,23197,7,6,0.857,,No,Yes,Disagree,"HIDDEN SOUNDS hat mit 6 von 7 Stimmen eine sehr grosse Zustimmung erhalten und die Idee, verborgene Klaenge in der Stadt erfahrbar zu machen, hat viele aus der Gruppe begeistert – auch wenn es noch offene Fragen zu Budget, Kommunikation und konkreten Orten gab. Trotz der vielen Unterstuetzerinnen und Unterstuetzer konnte das Projekt dieses Mal aufgrund des begrenzten Gesamtbudgets und anderer Prioritaeten leider nicht realisiert werden; einzelne Rueckmeldungen deuten aber darauf hin, dass eine angepasste Budgetplanung eine neue Chance eroeffnen koennte.","HIDDEN SOUNDS received very strong support, with 6 out of 7 people in favour, and the idea of making hidden sounds in the city tangible clearly resonated with many in the group, even though there were still open questions about budget, communication, and the exact locations. Despite its many supporters, the project unfortunately could not be realized this time due to the limited overall budget and other priorities, although some comments suggest that a revised budget plan could open up a new opportunity in the future.","Das Projekt 'HIDDEN SOUNDS' stoesst auf sehr grosse Zustimmung: 6 von 7 Personen unterstuetzen es, was einer nahezu einstimmigen Befuerwortung entspricht. Die Stimmung ist klar positiv; die Idee wird als schoen und bereichernd fuer Kultur im oeffentlichen Raum wahrgenommen. Kritische Hinweise betreffen vor allem organisatorische Aspekte wie ein moeglicherweise zu knapp kalkuliertes Werbebudget, die noch nicht bestaetigten Orte und die Unsicherheit, wie viele Winterthurer:innen tatsaechlich erreicht werden. Insgesamt ueberwiegt jedoch deutlich die Unterstuetzung fuer das Projekt, waehrend die Kritik eher als konstruktive Verbesserungsvorschlaege zu verstehen ist.","The project 'HIDDEN SOUNDS' enjoys very strong approval: 6 out of 7 people support it, which represents nearly unanimous backing. Overall sentiment is clearly positive; the idea is seen as beautiful and enriching for culture in public space. Critical remarks focus mainly on organisational aspects, such as a potentially underestimated advertising budget, the fact that locations are not yet confirmed, and uncertainty about how many residents of Winterthur will actually be reached. Overall, support for the project clearly dominates, while the criticism is better understood as constructive suggestions for improvement.","Ergebnis für 'HIDDEN SOUNDS' (111): Das Projekt wurde vom MES nicht finanziert. Die 6 Unterstuetzer hatten zusammen ein Budget von 15’817.78 CHF, was nicht ausreichte, um die erforderlichen 23’197 CHF zu decken.","Outcome for 'HIDDEN SOUNDS' (111): The project was not funded by MES. Its 6 supporters had a combined budget of 15,817.78 CHF, which was not enough to cover the required 23,197 CHF.",1,5,1,0
