Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_Version,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein,supporter_budget_at_consideration,Efficiency
1,1,051,Förderpool Kultur,4000,16,9,1.778,250.0,Yes,Yes,Agree,3,"Alle 9 Personen, die abgestimmt haben, fanden das Projekt wichtig und haben es unterstützt. Weil es im Verhältnis zu den verfügbaren Mitteln günstig war und einen hohen Nutzen brachte, wurde 'Förderpool Kultur' klar vom Budget finanziert.","All 9 people who voted considered this project important and supported it. Because it was inexpensive compared to the available funds and delivered high value, 'Förderpool Kultur' was clearly funded from the budget.",Fantastische Neuigkeiten: Alle 9 Teilnehmenden haben sich für dieses Projekt ausgesprochen! (Wertung: 1.78),Fantastic news: All 9 participants spoke in favor of this project! (score: 1.78),Ergebnis für 'Förderpool Kultur' (051): Das Projekt wurde vom MES finanziert. Es war erschwinglich und effizient (Wert: 250.00).,Outcome for 'Förderpool Kultur' (051): The project was funded by MES. It was affordable and efficient (Value: 250.00).,7,2,0,0,67482.0,250.0
2,2,109,Musikfestival auf dem Hügel,6000,14,7,1.222,428.57142857142856,Yes,Yes,Agree,3,"Viele in der Gruppe fanden das Musikfestival auf dem Hügel wichtig: 7 von 9 Personen haben es unterstuetzt. Weil das Projekt im Vergleich zu seinem Nutzen recht guenstig war, wurde es vom Budget problemlos voll finanziert.","Many people in the group valued the Musikfestival auf dem Hügel: 7 out of 9 participants supported it. Because the project offered good value for its cost, it was easily fully funded from the available budget.",Dieses Projekt wird von 7 von 9 Teilnehmenden unterstützt (Wertung: 1.22). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 7 out of 9 participants (score: 1.22). No written comments were left.,Ergebnis fuer 'Musikfestival auf dem Hügel' (109): Das Projekt wurde vom MES finanziert. Es war kostenguenstig und effizient (Wert: 428.57).,Outcome for 'Musikfestival auf dem Hügel' (109): The project was funded by MES. It was affordable and efficient (Value: 428.57).,7,0,1,1,49486.0,428.57
3,5,001,Nebelphase,8000,12,7,1.0,666.6666666666666,Yes,Yes,Agree,3,"Viele fanden den Lichterzauber im Weiertal schön, aber die schwierige Anfahrt wurde als klare Einschränkung genannt. Trotz dieser Bedenken hatte das Projekt mit 7 von 9 Zustimmungen eine grosse Unterstützung und war im Verhältnis zum Nutzen günstig, weshalb es finanziert wurde.","Many people liked the idea of the Lichterzauber in the Weiertal, but the difficult access was seen as a clear limitation. Despite this concern, the project had strong support from 7 out of 9 voters and was considered good value for its cost, so it was funded.","Das Projekt 'Nebelphase' stösst mit 7 von 9 Stimmen auf eine sehr hohe, nahezu einstimmige Zustimmung. Die durchschnittliche Bewertung von 1.00 unterstreicht die starke Unterstützung. Vereinzelt wurde die eher schwierige Anfahrt als wesentliche Einschränkung erwähnt, insgesamt überwiegt jedoch die klare positive Grundhaltung gegenüber dem Projekt.","The project 'Nebelphase' enjoys very high, nearly unanimous support, with 7 out of 9 votes in favor. The mean score of 1.00 underscores this strong backing. While there was an isolated concern about the rather difficult access and resulting limitations, the overall sentiment remains clearly positive toward the project.",Ergebnis für «Nebelphase» (001): Das Projekt wurde durch die MES finanziert. Es war kostenguenstig und effizient (Wert: 666.67).,Outcome for 'Nebelphase' (001): The project was funded by MES. It was affordable and efficient (Value: 666.67).,5,2,1,1,44093.14285714286,666.67
4,3,108,Märcheprogramm mit Musik,20000,12,8,1.222,1666.6666666666667,Yes,Yes,Agree,3,"Viele fanden das Märcheprogramm mit Musik wichtig, auch mit dem Hinweis, dass es wohl auch mit einem kleineren Beitrag stattfinden koennte. Mit 8 von 9 Unterstuetzenden und einem guten Verhaeltnis von Nutzen zu Kosten wurde es klar finanziert.","Many people saw the project ""Märcheprogramm mit Musik"" as important, with the remark that it might also happen with a smaller contribution. With support from 8 out of 9 people and a good balance between value and cost, it was clearly funded.","Das Projekt „Märcheprogramm mit Musik“ geniesst mit 8 von 9 Stimmen eine sehr hohe, nahezu einstimmige Unterstützung. Die durchschnittliche Bewertung von 1.22 spiegelt diese starke Zustimmung wider. Einzelne Hinweise aus den Kommentaren betreffen eher die Höhe eines möglichen Beitrags, nicht jedoch die grundsätzliche Befürwortung des Projekts, das als voraussichtlich ohnehin realisierbar eingeschätzt wird.","The project “Märcheprogramm mit Musik” enjoys very high, nearly unanimous support, with 8 out of 9 votes in favor. The mean score of 1.22 reflects this strong approval. Individual comments mainly question the full level of financial support rather than the project itself, which is perceived as likely to take place even without full funding.",Das Märcheprogramm mit Musik (108) wurde vom MES finanziert. Es war bezahlbar und effizient (Wert: 1666.67).,"The project ""Märcheprogramm mit Musik"" (108) was funded by MES. It was affordable and efficient (value: 1666.67).",4,4,1,0,43150.66666666667,1666.67
5,6,054,Herbststück 27,10000,10,7,0.889,1000.0,Yes,Yes,Agree,3,"Die Herbststück 27 wurde von einer klaren Mehrheit unterstützt: 7 von 9 Personen sprachen sich dafür aus. Das Projekt war im Verhältnis zu seinen Nutzenpunkten kostengünstig, darum konnte es mit dem vorhandenen Budget problemlos finanziert werden.","The autumn production FAHR.WERK.ö! was clearly supported: 7 out of 9 people were in favor of funding it. The project was inexpensive for the benefit it provides, so it could be funded easily within the available budget.",Dieses Projekt wird von 7 von 9 Teilnehmenden unterstützt (Wertung: 0.89). Es wurden keine schriftlichen Kommentare hinterlassen.,This project is supported by 7 out of 9 participants (score: 0.89). No written comments were left.,Ergebnis für «Herbststück 27» (054): Das Projekt wurde von MES finanziert. Es war kostengünstig und effizient (Wert: 1'000.00).,"Outcome for 'Herbststück 27' (054): The project was funded by MES. It was affordable and efficient (Value: 1,000.00).",3,4,2,0,23033.61904761905,1000.0
6,17,119,Bandprojekt GOAT,1960,4,3,-0.25,490.0,Yes,No,Disagree,3,"Die Beteiligten schätzten an „Bandprojekt GOAT“ vor allem Austausch, Überraschung und Öffentlichkeit, bemängelten aber, dass es etwas zu kommerziell wirkt. Das Projekt hatte nur mittelstarke Unterstützung (3 von 9 Personen), war aber mit Kosten von 1'960 CHF gut bezahlbar und lieferte für dieses Geld im Vergleich zu anderen Projekten einen soliden Nutzen. Deshalb wurde es vom Budget mitfinanziert, obwohl die Rückmeldungen gemischt waren.","Participants valued “Bandprojekt GOAT” mainly for exchange, surprise, and its public character, but some felt it was a bit too commercial. The project only had moderate support (3 out of 9 people), but at a cost of CHF 1,960 it was clearly affordable and provided solid value for the money compared to other projects. For this reason, it was funded from the budget even though the feedback was mixed.","Das Projekt 'Bandprojekt GOAT' erhaelt mit 3 von 9 Stimmen eine moderate Unterstuetzung in der bewertenden Gruppe. Die quantitativen Bewertungen fallen mit einem durchschnittlichen Score von -0.25 eher verhalten aus. In den Rueckmeldungen werden positive Aspekte wie Austausch, Ueberraschung, Oeffentlichkeit sowie Erfahren/Erleben/Anregen hervorgehoben, waehrend zugleich eine gewisse Kritik geaeussert wird, dass das Projekt etwas zu stark kommerziell wirkt. Insgesamt zeigt sich ein gemischtes Stimmungsbild mit sowohl anerkannten Qualitaeten als auch Vorbehalten.","The project 'Bandprojekt GOAT' receives moderate support, with 3 out of 9 voters in favor. The quantitative ratings are somewhat reserved, reflected in a slightly negative mean score of -0.25. Feedback highlights positive aspects such as exchange, surprise, public visibility, and opportunities to experience and be inspired, while there is also criticism that the project appears somewhat too commercial. Overall, the sentiment is mixed, acknowledging both strengths and reservations.",Das Projekt 'Bandprojekt GOAT' (119) wurde vom MES finanziert. Es war bezahlbar und effizient (Wert: 490.00).,The project 'Bandprojekt GOAT' (119) was funded by MES. It was affordable and efficient (value: 490.00).,1,2,4,1,4422.571428571429,490.0
7,14,048,Festival Resonanz,7500,6,5,0.0,2528.7142857142853,Yes,No,Disagree,3,"Zum Festival Resonanz gab es gemischte Reaktionen: Einige fanden es nicht klar als Kulturprojekt und fragten, ob das Budget gekürzt werden könnte. Trotzdem wurde es finanziert, weil es genug Unterstützung (5 von 9 Personen) erhielt und im Verhältnis zu seinem Nutzen als preiswert und effizient bewertet wurde.",Reactions to the Festival Resonanz were mixed: some people did not clearly see it as a cultural project and questioned whether the budget could be reduced. It was still funded because it had enough support (5 out of 9 people) and was seen as cost‑effective and efficient for the benefits it provides.,"Das Projekt 'Festival Resonanz' (048) verzeichnet mit 5 von 9 Stimmen eine klare, mehrheitlich positive Unterstützung. Trotz vereinzelter kritischer Hinweise – etwa der Einschätzung, es sei kein klassisches Kulturprojekt oder der Anregung einer Budgetkürzung – überwiegt insgesamt die Zustimmung in der Abstimmung deutlich.","The project 'Festival Resonanz' (048) received clear majority support, with 5 out of 9 votes in favor. Although there are a few critical remarks – such as the view that it is not a traditional cultural project or the suggestion to reduce the budget – the overall voting outcome is clearly positive.",Ergebnis für «Festival Resonanz» (048): Das Projekt wurde vom MES finanziert. Es war preiswert und effizient (Wert: 2528.71).,Outcome for 'Festival Resonanz' (048): The project was funded by MES. It was affordable and efficient (Value: 2528.71).,1,4,2,2,9438.571428571428,1250.0
8,13,096,Freies Theater Fuego,7000,6,5,0.111,4723.190476190475,Yes,No,Disagree,3,"Viele fanden, dass das Budget dieses Projekts vernuenftig klingt. Mit 5 von 9 Unterstuetzerinnen und Unterstuetzern hatte es eine gemischte, aber solide Zustimmung. Weil das Projekt mit 7'000 CHF voll finanzierbar war und das Verhaeltnis von Kosten zu Nutzen sehr gut war (Preis pro Punkt: rund 4'723), wurde es vom MES ausgewaehlt und finanziert.","Several people felt that the budget for this project sounded reasonable. With support from 5 out of 9 voters, it had mixed but solid backing. Because it could be fully funded with CHF 7,000 and offered very good value for its cost (price per point around 4,723), the MES algorithm selected and funded it.","Das Projekt 'Freies Theater Fuego' (096) erhaelt mit 5 von 9 Stimmen eine klare Mehrheit und damit eine deutlich positive Unterstuetzung in der Gruppe. Die durchschnittliche Bewertung ist zwar tief (0.11), doch der Abstimmungsentscheid faellt mehrheitlich zugunsten des Projekts aus. In den Kommentaren wird insbesondere erwaehnt, dass das Budget als vernuenftig eingeschaetzt wird.","The project 'Freies Theater Fuego' (096) receives clear majority backing with 5 out of 9 votes, indicating distinctly positive support within the group. Although the mean score is low (0.11), the overall voting outcome is clearly in favor of the project. In the comments, it is specifically noted that the budget is considered reasonable.",Ergebnis für 'Freies Theater Fuego' (096): Das Projekt wurde vom MES finanziert. Es war preiswert und effizient (Wert: 4723.19).,Outcome for 'Freies Theater Fuego' (096): The project was funded by MES. It was affordable and efficient (Value: 4723.19).,1,4,3,1,7001.0,1166.67
9,7,004,Ausstellung Zwischenräume,23100,11,6,0.889,,No,No,Agree,3,"Viele fanden das Projekt wichtig und sinnvoll: 6 von 9 Personen haben es unterstuetzt, einzelne schlugen aber auch vor, das Budget um etwa 20 % zu reduzieren. Trotz der hohen Zustimmung reichte das gemeinsame Budget der Unterstuetzerinnen und Unterstuetzer (rund 19'400 CHF) nicht aus, um die vollen Projektkosten von 23'100 CHF zu decken, weshalb das Projekt im Verfahren nicht beruecksichtigt wurde.
","Many people saw this project as important and meaningful: 6 out of 9 participants supported it, while some also suggested reducing the budget by about 20%. Despite this strong support, the supporters together had around CHF 19,400 available, which was not enough to cover the full project cost of CHF 23,100, so the project could not be funded in the process.","Das Projekt verzeichnet mit 6 von 9 Stimmen eine sehr hohe Zustimmung. Der durchschnittliche Score von 0.89 unterstreicht die grundsaetzlich positive Bewertung. Einzelne Rueckmeldungen thematisieren vor allem eine moegliche Reduktion bzw. Anpassung des Budgets um rund 20 %, ohne die inhaltliche Unterstuetzung des Projekts grundsaetzlich in Frage zu stellen.","The project has very high support, with 6 out of 9 voters in favor. The mean score of 0.89 confirms the generally positive assessment. A few comments focus mainly on a potential 20% budget reduction or adjustment, without fundamentally questioning support for the project’s content.","Das Projekt ""Ausstellung Zwischenräume"" (004) wurde vom MES nicht unterstuetzt. Die 6 Unterstuetzerinnen und Unterstuetzer verfuegten gemeinsam ueber ein Budget von 19'368.95 CHF und konnten damit die erforderlichen 23'100 CHF nicht decken.","The project ""Ausstellung Zwischenräume – Accompanying Projects for Youth, Culture and Social Awareness"" (004) was not funded by MES. Its 6 supporters had a combined budget of 19,368.95 CHF, which was insufficient to cover the required 23,100 CHF.",5,1,3,0,19368.95238095238,2100.0
10,4,098,Migrationsstimmen Archiv,15000,10,7,1.125,,No,Yes,Disagree,3,"Viele fanden das Projekt spannend und wichtig, aber einzelne Personen stellten die Budgetplanung in Frage. Insgesamt hatten 7 Personen das Projekt unterstützt, doch gemeinsam standen nur rund 12'500 CHF zur Verfügung – zu wenig, um die benötigten 15'000 CHF zu decken. Darum konnte das Projekt trotz relativ breiter Unterstützung nicht finanziert werden.","Many people found the project interesting and important, but some questioned whether the budget made sense. In total, 7 people supported the project, but together they had only about CHF 12,500 available – not enough to cover the required CHF 15,000. That is why the project could not be funded, despite fairly strong support.","Das Projekt 'Migrationsstimmen Archiv' stoesst auf sehr hohe Zustimmung: 7 von 9 Abstimmenden unterstuetzen es klar, was auf eine nahezu einhellige positive Bewertung hindeutet. Der sehr tiefe Mittelwert von 1.12 bestaetigt diese starke Grundunterstuetzung. In den Kommentaren wird das Projekt als interessant und cool bezeichnet, gleichzeitig wird aber die Plausibilitaet bzw. Verstaendlichkeit der Zahlenaufstellung beziehungsweise des Budgets kritisch hinterfragt. Insgesamt ist die Stimmung deutlich positiv mit einzelnen, vor allem finanziellen Rueckfragen.","The project 'Migrationsstimmen Archiv' enjoys very strong support: 7 out of 9 voters clearly back it, indicating nearly unanimous positive approval. The very low mean score of 1.12 reinforces this strong overall endorsement. In the comments, the project is described as interesting and cool, while the plausibility or clarity of the financial breakdown or budget is critically questioned. Overall, sentiment is clearly positive, with some specific concerns focused mainly on financial transparency.",Das Projekt 'Migrationsstimmen Archiv' (098) wurde vom MES nicht unterstuetzt. Seine 7 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 12'486.00 CHF und konnten damit die erforderlichen 15'000 CHF nicht decken.,"The project 'Migrationsstimmen Archiv' (098) was not funded by MES. Its 7 supporters had a combined budget of 12,486.00 CHF, which was not enough to cover the required 15,000 CHF.",3,4,1,0,12486.000000000002,1500.0
