Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_Version,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein,supporter_budget_at_consideration,Efficiency
1,1,028,Raumversuch I,7000,11,7,1.571,636.3636363636364,Yes,Yes,Agree,3,"Die Unterstützerinnen und Unterstützer mögen besonders das ungewöhnliche Format, den starken Winterthur-Bezug und dass das Projekt gut zu „Überraschung“, Erfahren und Erleben passt. Gleichzeitig gab es Fragen, ob sich der Aufwand für nur drei Veranstaltungen und eine begrenzte Zahl Teilnehmender lohnt und ob das Budget leicht kürzbar wäre. Da alle 7 Personen das Projekt befürwortet haben und es im Verhältnis zu den Kosten als sehr wirkungsvoll galt, wurde es voll finanziert.","Supporters especially like the unusual format, the strong link to Winterthur, and that the project fits well with “surprise”, as well as learning and new experiences. At the same time, some questioned whether three events with limited participants justify the effort and whether the budget could be slightly reduced. Because all 7 people supported the project and it was seen as very effective for its cost, it was fully funded.","Die Bewertung faellt mit 7 von 7 Stimmen sehr positiv und nahezu einhellig aus. Das Projekt wird als inhaltlich spannend und gut zum Programm passend wahrgenommen, insbesondere aufgrund des Bezugs zu Winterthur, der ungewoehnlichen Location und der thematischen Ausrichtung (Erfahren, Erleben, Anregen, Lernen, Ueberraschung). Vereinzelt werden jedoch Rueckfragen zur Verhaeltnismaessigkeit von Aufwand, Budget und geplanter Anzahl Veranstaltungen geaeussert sowie zur Zahl der Teilnehmenden pro Anlass. Insgesamt ueberwiegt klar die Zustimmung, bei gleichzeitig konstruktiven Hinweisen zur leichten Budgetreduktion und zur Reichweite.","With 7 out of 7 votes, the assessment is very positive and nearly unanimous. The project is seen as thematically exciting and well aligned with the program, especially due to its connection to Winterthur, the unusual location, and its focus on experience, inspiration, learning, and surprise. Some comments raise questions about the proportionality between effort, budget, and the small number of planned events, as well as the number of participants per event. Overall, clear support predominates, accompanied by constructive suggestions for a slight budget reduction and for increasing reach.","Das Projekt ""Raumversuch I"" (028) wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 636.36).","The project ""Raumversuch I"" (028) was funded by MES. It was affordable and efficient (value: 636.36).",4,3,0,0,49000.0,636.36
2,2,013,Poetische Lesungen,8000,11,7,1.571,727.2727272727273,Yes,Yes,Agree,3,"Das Projekt erhielt sehr starke Unterstützung: Alle 7 Personen fanden es passend, weil es inklusiv ist, in der Öffentlichkeit stattfindet und das Budget direkt in barrierearme, durchdachte Lesungen mit mehreren Veranstaltungen fliesst. Da es zudem im Verhältnis zum verfügbaren Budget kostengünstig war, wurde es problemlos finanziert.","This project received very strong support: all 7 participants liked that it is inclusive, takes place in public spaces, and uses the budget directly for well-planned, low-barrier readings with several events. Because it was also inexpensive compared to the available budget, it was funded without any issues.","Das Projekt erhält sehr hohe, nahezu einstimmige Unterstützung (7 von 7 Stimmen). Die Rückmeldungen betonen, dass es gut zu den Schwerpunkten Personenvielfalt und Kultur im öffentlichen Raum passt. Das Konzept wird als durchdacht und inklusiv wahrgenommen, da es Menschen einschliesst statt auszugrenzen und mit sieben Veranstaltungen eine breitere Gruppe erreicht. Zudem wird das Budget als sinnvoll und unmittelbar wirksam für inklusive Massnahmen beurteilt.","The project receives very high, nearly unanimous support (7 out of 7 votes). Feedback highlights that it fits well with the priorities of diversity of people and culture in public spaces. The concept is seen as well thought-out and inclusive, as it aims to include rather than exclude people and, with seven events, makes the offer accessible to a broader group. The budget is viewed as reasonable and directly contributing to inclusive measures.",Ergebnis fuer 'Poetische Lesungen' (013): Das Projekt wurde vom MES gefoerdert. Es war kostenguenstig und effizient (Wert: 727.27).,Outcome for 'Poetische Lesungen' (013): The project was funded by MES. It was affordable and efficient (Value: 727.27).,4,3,0,0,42000.0,727.27
3,3,071,Tischgespräche,8000,10,6,1.286,800.0,Yes,Yes,Agree,3,"Das Projekt «Tischgespräche» wurde von fast allen, die es bewertet haben, unterstützt (6 von 7 Personen) und darum mit dem vorhandenen Budget finanziert. Einzelne Rückmeldungen betonen, dass die Kosten im Verhältnis zu anderen Geldgebern eher hoch wirken und dass es wichtig ist, die Teilnehmerzahl, die Einmaligkeit des Anlasses und die Einbindung von Menschen ohne Behinderungen klar zu machen.","The project “Tischgespräche” was supported by almost everyone who rated it (6 out of 7 people) and was therefore funded with the available budget. Some comments point out that the costs seem relatively high compared to other funders and that it is important to clarify how many people can attend, that it is a one-time event, and how people without disabilities are actively included.","Das Projekt 'Tischgespräche' (071) stösst mit 6 von 7 Stimmen auf eine sehr hohe, nahezu einstimmige Unterstützung. Der Mittelwert von 1.29 spiegelt diese klare Zustimmung quantitativ wider. In den Rückmeldungen werden hauptsächlich zwei kritische Punkte angesprochen: Einerseits wird vorgeschlagen, das Budget um rund 20 % zu reduzieren, um es besser ins Verhältnis zu den Beiträgen der Geldgeber (Stadt Winterthur und Beatrice Ederer Stiftung) zu setzen. Andererseits bestehen Bedenken, dass es sich um ein einmaliges Angebot für eine relativ kleine Zielgruppe handelt, wobei unklar bleibt, wie viele Personen tatsächlich am langen Tisch Platz finden. Zudem wird gefragt, wie Menschen ohne Behinderungen gezielt eingeladen werden, um eine inklusive Teilnahme sicherzustellen. Insgesamt überwiegt aber deutlich die positive Haltung zum Projekt, bei gleichzeitig konstruktiven Hinweisen zur Optimierung von Budget, Reichweite und Inklusion.","The project 'Tischgespräche' (071) enjoys very high, nearly unanimous support, with 6 out of 7 voters in favor. The mean score of 1.29 quantitatively reflects this strong approval. The written feedback raises mainly two critical aspects: First, a suggestion to reduce the budget by about 20% so that it aligns better with the contributions from the funders (City of Winterthur and Beatrice Ederer Foundation). Second, concerns that this is a one-off project for a relatively small target group, with questions about how many people can actually be seated at the long table. There is also a question about how people without disabilities will be specifically invited to ensure inclusive participation. Overall, the sentiment is clearly positive, with constructive remarks focused on optimizing budget, reach, and inclusion.",Ergebnis für «Tischgespräche» (071): Das Projekt wurde vom MES finanziert. Es war preiswert und effizient (Wert: 800.00).,Outcome for 'Tischgespräche' (071): The project was funded by MES. It was affordable and efficient (value: 800.00).,4,2,1,0,29000.0,800.0
4,4,082,Matter Echo,400,9,5,1.0,44.44444444444444,Yes,Yes,Agree,3,"Viele fanden das Projekt spannend und das Preis-Leistungs-Verhaeltnis sehr gut – zwei Auffuehrungen fuer 400 CHF wurden als fair bewertet, mit dem Wunsch nach mehr Konzerten und der Frage nach der Anzahl der Zuhoerer. 5 von 7 Personen haben das Projekt unterstuetzt, und weil es wenig kostete und als effizient galt, wurde es klar gefoerdert.","People appreciated the project and felt the price for two performances (400 CHF) was very fair, while also wishing for more shows and asking how many listeners can attend. 5 out of 7 people supported the project, and because it was low-cost and efficient, it was clearly funded.","Das Projekt stoesst auf sehr hohe Zustimmung: 5 von 7 Stimmen unterstuetzen es klar. Der mittlere Score liegt bei 1.00 und spiegelt diese starke positive Grundhaltung wider. Der vorliegende Kommentar ist insgesamt wohlwollend: Das Honorar wird als angemessen empfunden, gleichzeitig wird bedauert, dass es nur zwei Auffuehrungen gibt und angeregt, mehr Konzerte zu planen. Zudem besteht Interesse an Informationen zur moeglichen Publikumszahl pro Auffuehrung.","The project enjoys very strong support: 5 out of 7 voters clearly back it. The mean score of 1.00 reflects this strong positive overall attitude. The available comment is generally supportive: the fee is considered appropriate, while it is seen as a pity that there are only two performances, with a suggestion to schedule more concerts. There is also interest in information about the potential audience capacity per performance.",Das Projekt 'Matter Echo' (082) wurde von MES gefoerdert. Es war kostenguenstig und effizient (Wert: 44.44).,"The project 'Matter Echo - a sonic and musical look at material, earth and the ambiguity of existence.' (082) was funded by MES. It was affordable and efficient (Value: 44.44).",4,1,2,0,19218.18181818182,44.44
5,5,053,Hörspur II,5480,9,6,1.0,608.8888888888889,Yes,Yes,Agree,3,"Das Projekt wurde von fast allen, die es bewertet haben, unterstuetzt: 6 von 7 Personen fanden die Idee eines Podcasts zu wenig bekannten Themen in Kunst und Kultur spannend und passend zu ""Lernen und Erfahren"" sowie ""Mut zur Ueberraschung"". Weil das Projekt im Vergleich zum verfuegbaren Budget relativ guenstig war und als sehr effizient bewertet wurde, konnte es problemlos finanziert werden.","Almost everyone who rated this project supported it: 6 out of 7 people liked the idea of a podcast that makes little-known topics in art and culture more visible, fitting well with ""learning and experiencing"" and ""courage to surprise"". Because the project was relatively low-cost compared to the available budget and was seen as very efficient, it could be funded without difficulty.","Die Zustimmung zum Projekt ist mit 6 von 7 Stimmen nahezu einstimmig und sehr hoch. Die Kommentare sind insgesamt positiv: Das Konzept des Podcasts wird als ansprechend bewertet, insbesondere weil mit einem relativ kleinen Betrag ein wenig bekanntes Thema einer breiteren Bevoelkerung zugaenglich gemacht wird. Das Projekt wird inhaltlich den Kategorien „Mut zur Ueberraschung“, „Kultur in der (digitalen) Oeffentlichkeit“ sowie „Lernen und Erfahren“ zugeordnet. Kritisch angemerkt wird lediglich eine inkorrekte Webadresse und der Hinweis, dass fuer die Bekanntmachung des Podcasts wohl einiges an Marketing noetig sein wird, was die grundsaetzlich positive Haltung jedoch nicht mindert.","Support for the project is very high and nearly unanimous, with 6 out of 7 votes in favor. Overall, the comments are positive: the podcast concept is seen as appealing, especially because a relatively small amount of funding can make a little-known topic accessible to a broader audience. The project is thematically associated with “courage to surprise,” “culture in the (digital) public sphere,” and “learning and experiencing.” The only critical notes concern an incorrect website address and the expectation that substantial marketing will be needed to raise awareness of the podcast, which does not diminish the generally positive stance.",Das Projekt 'Hörspur II' (053) wurde von MES finanziert. Es war kostengünstig und effizient (Wert: 608.89).,The project 'Hörspur II - Season 2' (053) was funded by MES. It was affordable and efficient (value: 608.89).,3,3,0,1,22290.90909090909,608.89
6,8,023,Next Shapes,10000,7,6,0.857,1428.5714285714287,Yes,No,Disagree,3,"Viele fanden das Projekt sinnvoll, weil es seit vielen Jahren gut funktioniert und zu mehr Personenvielfalt beiträgt, auch wenn es nicht als besonders innovativ wahrgenommen wurde. Kritisch hinterfragt wurden vor allem die Höhe des Budgets, der Liftposten und die fehlende Angabe der Ticketeinnahmen in der Planung. Da 6 von 7 Personen das Projekt unterstützten und es als kostengünstig und effizient bewertet wurde, wurde es vom Budget vollständig finanziert.","Many people saw this project as meaningful because it has worked well for many years and supports diversity of participants, even if it was not seen as very innovative. People mainly questioned the size of the budget, the lift costs, and the missing information about ticket income in the financial plan. Since 6 out of 7 people supported the project and it was seen as cost-effective and efficient, it was fully funded.","Die Zustimmung fuer das Projekt ist mit 6 von 7 Stimmen sehr hoch bzw. nahezu einstimmig. Der mittlere Score von 0.86 bestaetigt diese starke Unterstuetzung. In den Kommentaren wird das etablierte, attraktive Programm und das 20-jaehrige Jubilaeum positiv hervorgehoben, ebenso die gute Passung zum Ziel der Personenvielfalt. Kritische Anmerkungen beziehen sich vor allem auf das Budget (Vorschlag einer Reduktion um 20 %, Frage nach Ticketeinnahmen) sowie die Meinung, dass die Finanzierung des Lifts eher durch einen Liftlieferanten erfolgen sollte und dass das Projekt nicht besonders innovativ sei. Insgesamt ist die Stimmung klar positiv mit einzelnen, vor allem budgetbezogenen Vorbehalten.","Support for the project is very high, with 6 out of 7 votes, i.e. nearly unanimous approval. The mean score of 0.86 confirms this strong backing. Comments highlight positively the established and attractive program and the 20-year anniversary as evidence of the event’s appeal, as well as its good fit with the goal of diversity of participants. Critical remarks focus mainly on the budget (suggested 20% reduction, questions about ticket revenues) and the view that the elevator for accessibility should rather be financed by an elevator supplier and that the project is not particularly innovative. Overall, sentiment is clearly positive, with some mainly budget-related reservations.",Ergebnis für «Next Shapes» (023): Das Projekt wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 1428.57).,Outcome for 'Next Shapes' (023): The project was funded by MES. It was affordable and efficient (Value: 1428.57).,1,5,1,0,18026.66666666667,1428.57
7,10,105,Chorprojekt Hayden,2000,6,5,0.571,333.3333333333333,Yes,No,Disagree,3,"Viele fanden das Projekt wichtig, weil es ein aktuelles Thema aufgreift, öffentlich sichtbare Konzerte bietet und aktiv nach Finanzierungsmöglichkeiten sucht. Mit 5 von 7 Unterstützer*innen und relativ tiefen Kosten wurde Chorprojekt Hayden klar finanziert.","Many participants saw this project as important because it addresses a current topic, offers concrete public concerts, and actively seeks different funding options. With support from 5 out of 7 people and relatively low costs, Chorprojekt Hayden was clearly funded.","Die Stimmung gegenueber dem Projekt ist sehr positiv, mit einer sehr hohen Unterstuetzung von 5 von 7 Stimmen. Die Kommentare heben hervor, dass das Projekt gut zur oeffentlichen Kultur passt, bereits drei konkrete Konzerte geplant sind und aktiv nach finanzieller Unterstuetzung gesucht wird. Besonders positiv bewertet werden die Aktualitaet des Themas und die ansprechende Art, damit Aufmerksamkeit zu generieren.","The sentiment toward the project is very positive, with a very high level of support at 5 out of 7 votes. Comments emphasize that the project fits well with public cultural life, has three concrete concerts planned, and is proactively seeking financial support. The topical relevance of the theme and the appealing way of generating awareness are viewed particularly positively.",Das Projekt Chorprojekt Hayden (105) wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 333.33).,The project Chorprojekt Hayden (105) was funded by MES. It was affordable and efficient (value: 333.33).,1,4,2,0,7848.542568542571,333.33
8,16,140,Comics in der Kasernen,6000,5,4,0.143,1503.8672438672434,Yes,No,Disagree,3,"Zu diesem Projekt gab es gemischte Rückmeldungen: Einige fanden es zu klein, zu teuer und zu stark auf eine begrenzte Zielgruppe ausgerichtet, und es war unklar, wie viele Treffen tatsächlich stattfinden. Trotzdem hat eine Mehrheit von 4 von 7 Personen das Projekt unterstützt, und mit den verfügbaren Mitteln konnte es gut bezahlt werden. Darum wurde 'Comics in der Kasernen' im Rahmen des Budgets finanziert.
","There were mixed reactions to this project: some people felt it was too small, too expensive and aimed at a limited target group, and it was unclear how many meetings would actually take place. Despite these concerns, a majority of 4 out of 7 people supported the project, and it was clearly affordable with the available funds. For these reasons, 'Comics in der Kasernen' was funded within the overall budget.","Das Projekt 'Comics in der Kasernen' weist mit 4 von 7 Stimmen eine relativ hohe Zustimmungsrate auf. Die durchschnittliche Bewertung ist mit 0.14 jedoch eher verhalten. In den Kommentaren werden insbesondere die geringe Groesse bzw. Dauer (nur ein Abend), eine sehr spezifische Zielgruppe, die hohen Kosten sowie Unklarheiten zur Anzahl der Treffen und damit zum Budget kritisch angesprochen. Insgesamt zeigt sich also eine knappe, aber vorhandene Unterstuetzung in der Abstimmung, waehrend in den Rueckmeldungen vor allem Kosten-Nutzen-Verhaeltnis und Projektumfang hinterfragt werden.","The project 'Comics in der Kasernen' shows a relatively high approval rate with 4 out of 7 votes. However, the average score of 0.14 is rather modest. In the comments, respondents mainly criticize the small scale or one-evening format, the very specific target group, the high costs, and unclear information about the number of meetings and thus the budget. Overall, there is a narrow but present level of support in the voting results, while the feedback primarily questions the cost-benefit ratio and the scope of the project.",Ergebnis fuer 'Comics in der Kasernen' (140): Das Projekt wurde vom MES finanziert. Es war bezahlbar und effizient (Wert: 1503.87).,Outcome for 'Comics in der Kasernen' (140): The project was funded by MES. It was affordable and efficient (Value: 1503.87).,1,3,2,1,6373.391053391055,1200.0
9,12,032,Farbraum Stadt,14970,7,5,0.571,,No,No,Agree,3,"Mehrere Personen fanden die Kulturstadtkarte eine schoene Idee, um die kulturellen Angebote in Winterthur sichtbarer zu machen. Gleichzeitig gab es deutliche Kritik an der Papierform (Abfall, rasche Veraltung) und daran, ob Winterthur so eine Karte wirklich braucht. Obwohl das Projekt relativ viel Unterstuetzung hatte (5 von 7 Personen), reichte das gemeinsame Budget der Unterstuetzerinnen und Unterstuetzer mit rund 13'000 CHF nicht aus, um die vollen Projektkosten von knapp 15'000 CHF zu decken – deshalb konnte es im MES nicht finanziert werden.","Several people liked the idea of the culture map as a way to make Winterthur’s cultural offerings more visible. At the same time, there was clear criticism of the paper format (waste, quickly outdated) and doubts about whether Winterthur really needs such a map. Even though support was relatively high (5 out of 7 people), the supporters’ combined budget of about CHF 13,000 was not enough to cover the full project cost of just under CHF 15,000, so the MES could not fund this project.","Die Zustimmung zum Projekt ist mit 5 von 7 Stimmen sehr hoch und nahezu einhellig. Die durchschnittliche Bewertung liegt im positiven Bereich (0.57). In den Kommentaren wird einerseits kritisiert, dass eine gedruckte Kulturkarte nicht nachhaltig sei, rasch veralte und angesichts der bereits bestehenden Verbindung zu Coucou sowie der Stadtgroesse von Winterthur als verzichtbar erscheine. Andererseits wird das Projekt als schoener Beitrag zur Sichtbarkeit der vielfaeltigen Kulturprojekte in Winterthur gewuerdigt und als gut passend zum Thema Oeffentlichkeit bezeichnet. Insgesamt ueberwiegt klar die positive Grundhaltung gegenueber dem Projekt.","Support for the project is very high at 5 out of 7 votes, indicating nearly unanimous approval. The average score is in the positive range (0.57). In the comments, one side criticizes that a printed culture map is not sustainable, becomes outdated quickly, and may be unnecessary given Winterthur’s size and the existing connection to Coucou. On the other hand, the project is praised as a nice contribution to making the diversity of cultural projects in Winterthur more visible and as a good fit with the theme of public visibility. Overall, the positive stance toward the project clearly predominates.","Das Projekt «Farbraum Stadt» (032) wurde nicht vom MES finanziert. Die 5 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 13’015.35 CHF und damit nicht genug, um die benoetigten 14’970 CHF zu decken.","The project “Farbraum Stadt” (032) was not funded by MES. Its 5 supporters had a combined budget of 13,015.35 CHF, which was not enough to cover the required 14,970 CHF.",2,3,1,1,13015.353535353537,2138.57
10,6,111,Klanginstallation auf dem Marktplatz,23197,7,6,0.857,,No,Yes,Disagree,3,"Viele fanden die Idee von Klanginstallation auf dem Marktplatz schoen und sahen ein spannendes Potenzial fuer Kultur im oeffentlichen Raum, waren aber unsicher wegen der niedrigen Werbekosten, der noch nicht bestaetigten Orte und der fehlenden Erfahrung mit aehnlichen Events. Obwohl die Unterstuetzer klar in der Mehrheit waren (6 von 7 Personen), reichte ihr gemeinsames Budget von rund 15'800 CHF nicht aus, um die beantragten 23'200 CHF zu decken. Deshalb konnte das Projekt im MES-Verfahren nicht finanziert werden – moeglicherweise waere eine kleinere Budgetanfrage realistischer gewesen.
","Many people liked the idea of Klanginstallation auf dem Marktplatz and saw interesting potential for culture in public space, but they were unsure about the low advertising budget, the not-yet-confirmed locations, and the organiser’s lack of similar past events. Even though support was clearly high (6 out of 7 people), the supporters’ combined budget of about CHF 15,800 was not enough to cover the requested CHF 23,200. For this reason, the project could not be funded in the MES process – a smaller or adjusted budget might be more realistic in the future.","Das Projekt 'Klanginstallation auf dem Marktplatz' stoesst auf sehr grosse Zustimmung: 6 von 7 Personen unterstuetzen es, was einer nahezu einstimmigen Befuerwortung entspricht. Die Stimmung ist klar positiv; die Idee wird als schoen und bereichernd fuer Kultur im oeffentlichen Raum wahrgenommen. Kritische Hinweise betreffen vor allem organisatorische Aspekte wie ein moeglicherweise zu knapp kalkuliertes Werbebudget, die noch nicht bestaetigten Orte und die Unsicherheit, wie viele Winterthurer:innen tatsaechlich erreicht werden. Insgesamt ueberwiegt jedoch deutlich die Unterstuetzung fuer das Projekt, waehrend die Kritik eher als konstruktive Verbesserungsvorschlaege zu verstehen ist.","The project 'Klanginstallation auf dem Marktplatz' enjoys very strong approval: 6 out of 7 people support it, which represents nearly unanimous backing. Overall sentiment is clearly positive; the idea is seen as beautiful and enriching for culture in public space. Critical remarks focus mainly on organisational aspects, such as a potentially underestimated advertising budget, the fact that locations are not yet confirmed, and uncertainty about how many residents of Winterthur will actually be reached. Overall, support for the project clearly dominates, while the criticism is better understood as constructive suggestions for improvement.","Ergebnis für 'Klanginstallation auf dem Marktplatz' (111): Das Projekt wurde vom MES nicht finanziert. Die 6 Unterstuetzer hatten zusammen ein Budget von 15’817.78 CHF, was nicht ausreichte, um die erforderlichen 23’197 CHF zu decken.","Outcome for 'Klanginstallation auf dem Marktplatz' (111): The project was not funded by MES. Its 6 supporters had a combined budget of 15,817.78 CHF, which was not enough to cover the required 23,197 CHF.",1,5,1,0,15817.777777777781,3313.86
