Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein
1,1,095,Laternenumzug,3800,10,6,1.143,380.0,Yes,Yes,Agree,"Der Laternenumzug hat mit 6 von 7 Stimmen sehr grossen Anklang gefunden, weil er auf einfache, kreative Weise Menschen unterschiedlichen Alters und Hintergrunds zusammenbringt und Kultur im öffentlichen Raum sichtbar macht. Trotz einzelnen offenen Fragen überzeugte das Projekt viele durch seine stimmige Mischung aus gemeinschaftlichem Erlebnis, kreativem Laternenbau und einem sorgfältig kalkulierten, günstigen Budget.","The lantern parade was very well received, with 6 out of 7 people supporting it, because it brings together people of different ages and backgrounds in a simple, creative way and makes culture visible in public space. Despite a few open questions, the project convinced many voters with its well-balanced mix of shared experience, creative lantern-making, and a carefully planned, low-cost budget.","Das Projekt 'Laternenumzug' (095) erhaelt mit 6 von 7 Stimmen eine sehr hohe, beinahe einstimmige Unterstuetzung. Die Stimmung in den Rueckmeldungen ist insgesamt klar positiv: Besonders hervorgehoben werden der Beitrag zur oeffentlichen Kultur, die Foerderung einer starken Gemeinschaft, der Mut zur kreativen Ueberraschung sowie das gemeinsame Erfahren, Erleben und Lernen. Positiv betont wird auch, dass das Projekt Menschen mit sehr unterschiedlichen Hintergruenden zusammenbringen und durch das Laternenbasteln kreative Prozesse anstossen kann. Der Umzug am Wochenende ermoeglicht zudem die Teilnahme von Kindern und verstaerkt das Gemeinschaftsgefuehl. Das Budget wird als plausibel beurteilt, einzelne Stimmen wuenschen sich, dass das Projekt kuenftig noch groesser werden koennte, was die grundsaetzliche Zustimmung weiter unterstreicht.","The project 'Laternenumzug' (095) receives very high, nearly unanimous support with 6 out of 7 votes. Overall sentiment in the feedback is clearly positive: respondents particularly emphasize the project’s contribution to public culture, the strengthening of community, the encouragement of creative surprises, and the shared experiences of discovering, participating, and learning. It is seen as a way to bring together people from diverse backgrounds and to stimulate creativity through lantern making. Holding the parade on a weekend is viewed positively, as it allows children to participate and reinforces the sense of community. The budget is considered plausible, and some would even like to see the project grow larger in the future, which further underscores the strong overall approval.",Ergebnis für 'Laternenumzug' (095): Das Projekt wurde vom MES finanziert. Es war günstig und effizient (Wert: 380.00).,Outcome for 'Laternenumzug' (095): The project was funded by MES. It was affordable and efficient (Value: 380.00).,4,2,0,1
2,5,056,ANTE,5000,8,5,0.714,625.0,Yes,Yes,Agree,"ANTE hat mit 5 von 7 Stimmen grossen Rückhalt in der Gemeinschaft gefunden: Die Leute schätzten besonders die verbindende Kraft der Musik, das überschaubare, respektvolle Setting im Freien und den bewussten Gegenpol zu grossen Festivals. Trotz einzelner kritischer Hinweise zur Professionalität und Finanzierung konnte das Projekt viele überzeugen und wurde als bezahlbares, effizientes Angebot für eine vielfältige Öffentlichkeit wahrgenommen.","ANTE received strong support from the community, with 5 out of 7 people in favor, who especially valued the connecting power of music, the intimate outdoor setting, and its deliberate contrast to large festivals. Despite some critical remarks about its professional setup and funding, the project convinced many voters and was seen as an affordable and efficient cultural offer for a diverse public.","Das Projekt ANTE stösst auf eine sehr hohe Zustimmung: 5 von 7 Abstimmenden unterstützen das Vorhaben klar. Die quantitative Bewertung mit einem mittelhohen Durchschnittswert von 0.71 ergänzt dieses insgesamt positive Bild. In den Kommentaren wird besonders die Stärkung der Gemeinschaft durch musikalischen Austausch, Kultur im öffentlichen Raum und die Offenheit für verschiedene Personengruppen hervorgehoben. Gelobt werden zudem das intime, überschaubare Format, das auch Menschen anspricht, die sich in grossen Menschenmengen unwohl fühlen, sowie die bewusste Alternative zu grossen Festivals. Vereinzelt wird kritisch angemerkt, das Projekt wirke sehr professionell und stark durch Sponsoren getragen; eine Empfehlung lautet, eine mögliche Förderung um 20 % zu reduzieren. Insgesamt überwiegt jedoch deutlich die positive Haltung gegenüber dem Projekt.","The ANTE project enjoys very high support: 5 out of 7 voters clearly back the initiative. The quantitative evaluation, with a mid-to-high mean score of 0.71, reinforces this generally positive picture. Comments particularly highlight the strengthening of community through musical exchange, culture in public spaces, and inclusivity for diverse groups of people. The intimate, small-scale format is praised for appealing to individuals who feel uncomfortable in large crowds and for offering a deliberate counterpoint to big festivals. One critical voice notes that the project appears very professional and heavily sponsored, suggesting a 20% reduction if it is funded. Overall, however, the sentiment is clearly positive, with strong support for the project.",Ergebnis fuer 'ANTE' (056): Das Projekt wurde vom MES finanziert. Es war bezahlbar und effizient (Wert: 625.00).,Outcome for 'ANTE' (056): The project was funded by MES. It was affordable and efficient (Value: 625.00).,3,2,1,1
3,6,019,Winterthur Unplugged Festival,5500,8,5,0.714,687.5,Yes,No,Disagree,"Das Projekt 'Winterthur Unplugged Festival' fand mit 5 von 7 Stimmen deutliche Unterstützung in der Community und überzeugte viele mit seiner inklusiven Ausrichtung, den günstigen Eintrittsmöglichkeiten und dem Fokus auf vielfältige Kultur. Trotz einzelner kritischer Fragen – etwa zur Grösse des Anlasses und zu bestehenden ähnlichen Angeboten – überwog bei den Abstimmenden klar das Gefühl, dass hier mit wenig Geld ein wertvoller, erlebnisorientierter Kulturbeitrag für unterschiedliche Menschen geschaffen wird.","The 'Winterthur Unplugged Festival' project received clear backing from the community, with 5 out of 7 people supporting it, and it convinced many through its inclusive approach, affordable access, and focus on diverse cultural experiences. Despite some open questions – for example about the event size and existing similar offers – the overall sense among voters was that this project creates a meaningful, experience‑oriented cultural contribution for different people with a very efficient use of funds.","Das Projekt 'Winterthur Unplugged Festival' stoesst mit 5 von 7 Stimmen auf eine sehr hohe, nahezu einhellige Zustimmung. Die Bewertungen heben insbesondere den Mut zur Ueberraschung, den Erlebnis- und Lerncharakter sowie den Fokus auf kulturelle Teilhabe fuer eine vielfaeltige Bevoelkerung hervor. Positiv hervorgehoben werden die Inklusionsbeauftragte und die Moeglichkeit, das Festival guenstig und mit Begleitperson zu besuchen. Kritische Punkte betreffen vor allem die vergleichsweise geringe Zahl von rund 150 Eintritten und die Wahrnehmung, dass es sich um ein aehnliches Format wie andere Unplugged-Konzerte (bzw. ANTE/SubRock) handelt, wobei einzelne Personen ein anderes Projekt staerker bevorzugen. Insgesamt ueberwiegt jedoch deutlich die Zustimmung, insbesondere im Hinblick auf Inklusion und kulturelle Vielfalt.","The 'Winterthur Unplugged Festival' project receives very high, nearly unanimous support, with 5 out of 7 votes in favour. Respondents particularly value its openness to surprises, its focus on experience and learning, and its emphasis on cultural participation for a diverse population. The presence of an inclusion officer and the possibility to attend at a reduced price with an accompanying person are seen as clear strengths. Critical remarks focus mainly on the relatively small audience size of around 150 entries and the perception that the format is similar to other unplugged events (e.g. ANTE/SubRock), with some individuals personally preferring another project. Overall, however, the strong approval clearly dominates, especially regarding inclusion and cultural diversity.",Das Projekt 'Winterthur Unplugged Festival' (019) wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 687.50).,The project 'Winterthur Unplugged Festival' (019) was funded by MES. It was affordable and efficient (value: 687.50).,3,2,1,1
4,4,126,Kulturbegleitung OnThur,20000,8,4,0.833,2701.5,Yes,Yes,Agree,"Mit der Unterstützung von 4 von 7 Personen fand «Kulturbegleitung OnThur» im Kreis der Mitentscheidenden klaren Rückhalt, besonders weil es Mut stärkt, Inklusion sichtbar macht und kulturelle Teilhabe für viele ermöglicht. Trotz vereinzelter kritischer Hinweise zur Zugänglichkeit für Kinder und zu den Rahmenbedingungen überzeugte das Projekt insgesamt und konnte dank seiner Kosteneffizienz und Wirkung erfolgreich finanziert werden.","With support from 4 out of 7 people, “Kulturbegleitung OnThur” clearly resonated with the decision-making group, especially because it empowers people, makes inclusion visible, and opens up cultural participation for many. Despite some critical remarks about access for children and certain framework conditions, the project ultimately convinced many and was successfully funded thanks to its cost-efficiency and impact.","Das Projekt 'Kulturbegleitung OnThur' stoesst mit 4 von 7 Stimmen auf eine klar mehrheitliche Zustimmung. Die Bewertungen heben insbesondere den mutigen und staerkenden Charakter hervor sowie den Beitrag zur gelebten Inklusion. Kritisch wird angemerkt, dass Kinder und Jugendliche nicht teilnehmen koennen und dass die Angebote zeitlich nur abends stattfinden. Zudem wird der beantragte Betrag von 20'000 CHF im Zusammenhang mit der Traegerschaft als relativ hoch beurteilt. Insgesamt ueberwiegt jedoch die positive Einschaetzung des Projekts und seines inklusiven Mehrwerts deutlich.","The project 'Kulturbegleitung OnThur' receives clear majority approval with 4 out of 7 votes. Respondents particularly emphasize its courageous and empowering nature and its contribution to lived inclusion. Critical points raised include the fact that children and adolescents cannot participate and that activities take place only in the evenings. In addition, the requested amount of CHF 20,000 is seen as relatively high in light of the size and capacity of the institution. Overall, the positive assessment of the project and its inclusive added value clearly predominates.",Das Projekt «Kulturbegleitung OnThur» (126) wurde von MES finanziert. Es war kostengünstig und effizient (Wert: 2701.50).,The project ‘Kulturbegleitung OnThur’ (126) was funded by MES. It was affordable and efficient (value: 2701.50).,4,0,1,1
5,2,129,"""Vitodura zu Besuch"" - Szenischer Vortrag (Arbeitstitel)",8000,7,6,0.857,1999.7499999999998,Yes,Yes,Agree,"„Vitodura zu Besuch“ fand mit 6 von 7 Stimmen grosse Zustimmung in der Gruppe und überzeugte, weil es ein bestehendes Angebot sinnvoll erweitert und so noch mehr Menschen Zugang zu Wissen, Austausch und kulturellem Erleben ermöglicht. Trotz einzelner Rückmeldungen zu Budgetkürzungen überwog klar die Begeisterung für das gute Preis-Leistungs-Verhältnis, weshalb das Projekt unterstützt und realisiert wird.","“Vitodura on Visit” received strong support with 6 out of 7 votes and convinced the group by meaningfully expanding an existing project so that even more people gain access to knowledge, exchange, and cultural experiences. Despite some comments about budget reductions, the clear enthusiasm for its very good value for money prevailed, which is why the project is being supported and implemented.","Das Projekt stösst auf sehr grosse Zustimmung: 6 von 7 Stimmen sprechen sich dafür aus. Die Kommentierenden betonen eine gute Übereinstimmung mit den Förderkriterien (mit leichten Einschränkungen im Bereich «Kultur in der Öffentlichkeit», die jedoch anderweitig bereits abgedeckt wird). Positiv hervorgehoben werden der erweiterte Zugang zu Informationen, der Beitrag zu einer starken Gemeinschaft durch Austausch sowie die Förderung von kultureller Vielfalt und erfahrbarem Erleben. Das Budget wird grundsätzlich als in Ordnung beurteilt, wobei eine Kürzung von rund 20 % bei guter Geschäftslage vorgesehen ist.","The project enjoys very strong support: 6 out of 7 votes are in favor. Commenters emphasize a good alignment with the funding criteria (with minor reservations regarding “culture in public space,” which is considered to be covered elsewhere). Positively noted are the expanded access to information, the contribution to a strong community through exchange, and the promotion of cultural diversity and experiential learning. The budget is broadly seen as acceptable, with a potential reduction of around 20% envisaged in case of a good financial result.","Das Projekt ""Vitodura zu Besuch"" - Szenischer Vortrag (Arbeitstitel) (ID 129) wurde von MES unterstuetzt. Es war kostenguenstig und effizient mit einem Wert von 1999.75.","The project ""Vitodura zu Besuch"" - Staged Presentation (working title) (ID 129) was funded by MES. It was cost-effective and efficient with a value of 1999.75.",1,5,1,0
6,7,040,15 Jahre Theater Ariane – wir feiern einen Begegnungsort,10000,6,5,0.571,4061.25,Yes,No,Disagree,"Das Projekt «15 Jahre Theater Ariane – wir feiern einen Begegnungsort» hat mit 5 von 7 Stimmen eine sehr starke Unterstuetzung erhalten und zeigt, wie sehr die Idee eines lebendigen Austauschs zwischen Schauspielerinnen, Schauspielern und Publikum die Gemeinschaft beruehrt. Trotz einzelner offenen Fragen – etwa zu Einnahmen – hat das Vorhaben viele Menschen ueberzeugt, weil es Kultur fuer eine vielfältige Personenwelt bietet und einen echten Begegnungsort schafft.","The project “15 Years of Theater Ariane – celebrating a place of encounter” received very strong support with 5 out of 7 votes, showing how much the idea of lively exchange between actors and audience resonated with the community. Despite a few open questions – for example about income – the project convinced many people because it offers culture for a diverse range of people and creates a genuine place of encounter.","Die Zustimmung zu diesem Projekt ist mit 5 von 7 Stimmen sehr hoch und kommt einer beinahe einstimmigen Unterstützung gleich. Die Bewertungen betonen den Begegnungsort als Raum für Austausch und Gemeinschaft, der Mut zur Überraschung und das gemeinsame Erfahren, Erleben, Anregen und Lernen werden positiv hervorgehoben. Besonders geschätzt wird der direkte Dialog zwischen Schauspielerinnen und Schauspielern und Publikum nach der Vorstellung, was als seltene und bereichernde Qualität wahrgenommen wird. Das Projekt wird als Beitrag zu einer starken Gemeinschaft und zu Kultur für eine vielfältige Bevölkerung gesehen. Kritisch angemerkt werden Fragen zur Budgetplanung und fehlenden Einnahmen, jedoch ohne die insgesamt sehr positive Grundhaltung und hohe Zustimmung in Frage zu stellen.","Support for this project is very high, with 5 out of 7 votes, which is close to unanimous approval. The feedback highlights the venue as a place of encounter and exchange, with praise for its courage to surprise and its focus on shared experiencing, inspiring, and learning. In particular, the direct dialogue between actors and audience after the performance is seen as a rare and enriching quality. The project is perceived as contributing to strong community ties and to culture that embraces diversity. Some concerns are raised about the budget planning and the absence of revenues, but these do not fundamentally challenge the overall very positive attitude and high level of support.",Das Projekt «15 Jahre Theater Ariane – wir feiern einen Begegnungsort» (040) wurde von MES unterstuetzt. Es war kostenguenstig und effizient (Wert: 4061.25).,The project “15 Years of Theater Ariane – we celebrate a place of encounter” (040) was funded by MES. It was affordable and efficient (value: 4061.25).,1,4,2,0
7,8,045,Don't be Cool – be Warm!,20000,7,4,0.5,,No,No,Agree,"Das Projekt ""Don't be Cool – be Warm!"" hat mit der Unterstützung von 4 von 7 Personen deutlich gezeigt, wie stark die Idee von Gemeinschaft, Vielfalt und gemeinsamem Erleben in der Nachbarschaft verankert ist. Trotz seiner vielen Unterstützerinnen und Unterstützer konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten dieses Mal leider nicht realisiert werden.","The project ""Don't be Cool – be Warm!"" clearly resonated with the community, with 4 out of 7 people supporting its strong focus on togetherness, diversity, and shared experiences. Despite its many supporters, the project unfortunately could not be realized this time due to the limited overall budget and other priorities.","Das Projekt 'Don't be Cool – be Warm!' (045) stoesst mit 4 von 7 Stimmen auf deutliche Zustimmung. Die Rueckmeldungen betonen eine starke Uebereinstimmung mit allen Punkten des Foerderkompasses: Kultur im oeffentlichen Raum, Gemeinschaft und Austausch, Offenheit fuer Ueberraschungen sowie gemeinsames Erfahren, Erleben, Anregen und Lernen. Besonders hervorgehoben werden Inklusion, Vielfalt und das Zusammenbringen unterschiedlicher Menschen, die gemeinsam Selbstwirksamkeit erleben. Insgesamt wird das Projekt sehr positiv bewertet und sogar als persoenlicher Favorit ('coup de coeur') bezeichnet.","The project 'Don't be Cool – be Warm!' (045) receives clear approval, with 4 out of 7 votes in favor. Feedback highlights a strong alignment with all aspects of the funding compass: culture in public spaces, building community and exchange, openness to surprise, as well as shared experiencing, exploration, inspiration, and learning. Inclusion, diversity, and bringing different people together to experience self-efficacy are particularly emphasized. Overall, the project is viewed very positively and even described as a personal favorite ('coup de coeur').","Ergebnis für 'Don't be Cool – be Warm!' (045): Das Projekt wurde vom MES nicht finanziert. Die 4 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 11’939.00 CHF, was nicht ausreichte, um die benoetigten 20’000 CHF zu decken.","Outcome for 'Don't be Cool – be Warm!' (045): The project was not funded by MES. Its 4 supporters had a combined budget of 11,939.00 CHF, which was not enough to cover the required 20,000 CHF.",3,1,0,2
8,13,081,Die grösste Wandzeitung Winterthurs,7330,6,4,0.143,,No,No,Agree,"Das Projekt «Die groesste Wandzeitung Winterthurs» hat bei mehr als der Haelfte der Beteiligten Begeisterung ausgeloest, weil es Kultur im oeffentlichen Raum erlebbar macht und viele Menschen niederschwellig zum Mitmachen und Austauschen einlaedt – gerade auch waehrend der Musikfestwochen. Trotz seiner vielen Unterstuetzerinnen und Unterstuetzer konnte es aufgrund des begrenzten Gesamtbudgets und anderer gesetzter Schwerpunkte dieses Mal leider nicht realisiert werden.","The project “Die groesste Wandzeitung Winterthurs” inspired a clear majority of participants, as it brings culture into public space in an accessible way and invites many different people to read, join in and exchange ideas – especially during the music festival weeks. Despite its many supporters, the project unfortunately could not be realized this time due to the limited overall budget and other funding priorities.","Das Projekt erhält mit 4 von 7 Stimmen eine eher positive, tendenziell zustimmende Bewertung. In den Kommentaren wird besonders geschätzt, dass die Wandzeitung Kultur in der Öffentlichkeit sichtbar macht, Austausch und Gemeinschaft fördert, zur Überraschung ermutigt und ein niedrigschwelliges Mitmachen für viele unterschiedliche Personen ermöglicht – insbesondere in Zeiten mit hoher Publikumsfrequenz wie während der Musikfestwochen. Eine Person bezeichnet das Projekt sogar als einen ihrer beiden „coup de coeur“. Kritisch angemerkt wird, dass es eher als Kommunikationsplattform denn als klassisches Kulturprojekt wahrgenommen wird und nur einen Förderschwerpunkt des Kompasses klar erfüllt. Insgesamt überwiegt jedoch die positive Einschätzung, insbesondere was Zugänglichkeit, Beteiligung und Wirkung im öffentlichen Raum betrifft.","The project receives a somewhat positive, generally approving assessment, with 4 out of 7 voters in support. Commenters particularly value that the wall newspaper brings culture into public space, fosters exchange and community, encourages surprise, and offers a very low-threshold way for a wide range of people to participate – especially during periods of high foot traffic such as the music festival weeks. One person even describes the project as one of their two “coup de coeur” choices. On the critical side, some see it more as a communication platform than a traditional cultural project and note that it clearly fulfills only one funding focus of the compass. Overall, however, the positive view predominates, especially regarding accessibility, participation, and impact in public space.","Das Projekt ""Die groesste Wandzeitung Winterthurs"" (081) wurde nicht von MES gefoerdert. Die 4 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 7’160.00 CHF und konnten damit die erforderlichen 7’330.00 CHF nicht decken.","The project ""Die groesste Wandzeitung Winterthurs"" (081) was not funded by MES. Its 4 supporters had a combined budget of 7,160.00 CHF, which was not enough to cover the required 7,330.00 CHF.",2,2,1,2
9,10,094,Slamstörung – Poetry Slam x Mental Health,18300,6,5,0.429,,No,No,Agree,"Slamstoerung – Poetry Slam x Mental Health hat bei 5 von 7 Beteiligten deutlich Anklang gefunden, insbesondere weil es wichtige Mental-Health-Themen in zugänglicher, kultureller Form und im gemeinschaftlichen Austausch aufgreift. Trotz seiner vielen Unterstützerinnen und Unterstützer konnte das Projekt dieses Mal aufgrund des begrenzten Gesamtbudgets und anderer Prioritäten leider nicht realisiert werden.","Slamstoerung – Poetry Slam x Mental Health clearly resonated with 5 out of 7 participants, especially because it addresses important mental health topics in an accessible cultural format and through shared dialogue. Despite its many supporters, the project unfortunately could not be realized this time due to the limited total budget and other priorities.","Die Zustimmung zum Projekt ist mit 5 von 7 Stimmen sehr hoch und nahezu einhellig. Die Kommentare betonen vor allem die starke Gemeinschaft durch Austausch, den Mut zur Überraschung sowie das Erfahren, Erleben, Anregen und Lernen. Besonders positiv hervorgehoben werden die thematische Relevanz (Mental Health), die niederschwelligere Zugänglichkeit der Inhalte durch die spezielle Textform Poetry Slam und der Beitrag zu Kultur für Personenvielfalt. Kritisch angemerkt wird einzig die finanzielle Zugänglichkeit; es wird gewünscht, dass das Angebot für alle Menschen leistbar sein sollte. Insgesamt überwiegt klar die positive, unterstützende Haltung zum Projekt, bei gleichzeitigem Hinweis auf eine wünschenswerte Reduktion finanzieller Hürden.","Support for the project is very high, with 5 out of 7 voters in favor, indicating nearly unanimous approval. Comments emphasize the strength of community through exchange, the courage to embrace surprise, and the value of experiencing, inspiring, and learning together. The thematic focus on mental health and the use of poetry slam as an accessible textual form are seen as clear strengths, as is the contribution to cultural diversity and inclusion. The only notable criticism concerns financial accessibility, with the wish that the offer should be affordable for everyone. Overall, the sentiment is clearly positive and supportive, with a strong endorsement of the project and a side note that reducing financial barriers would further improve it.","Das Projekt ""Slamstoerung – Poetry Slam x Mental Health"" (094) wurde von MES nicht gefoerdert. Die 5 Supporter verfuegten zusammen ueber ein Budget von 13’694.00 CHF und konnten damit die erforderlichen 18’300.00 CHF nicht decken.","The project ""Slamstörung – Poetry Slam x Mental Health"" (094) was not funded by MES. Its 5 supporters had a combined budget of 13,694.00 CHF, which was not enough to cover the required 18,300.00 CHF.",1,4,1,1
10,9,104,Kreativwerkstatt,30724,6,5,0.429,,No,No,Agree,"Die Kreativwerkstatt hat mit 5 von 7 Stimmen sehr viel Rückhalt in der Gruppe erhalten, vor allem weil sie einen offenen, niederschwelligen Ort für Austausch, gemeinsames Lernen und kulturelle Vielfalt schaffen wollte – auch wenn es einzelne offene Fragen zu Aufwand und Finanzierung gab, hat das Projekt viele überzeugt. Trotz seiner vielen Unterstützerinnen und Unterstützer konnte das Projekt aufgrund des begrenzten Gesamtbudgets und anderer gesetzter Prioritäten dieses Mal leider nicht realisiert werden.","The Kreativwerkstatt received strong backing from the group, with 5 out of 7 people supporting the idea of an open, low-threshold space for exchange, shared learning and cultural diversity – and it convinced many voters even though some questions about workload and financing remained. Despite its many supporters, the project unfortunately could not be realised this time due to the limited overall budget and other priorities.","Das Projekt 'Kreativwerkstatt' stoesst mit 5 von 7 Stimmen auf eine sehr hohe, beinahe einhellige Zustimmung. Inhaltlich wird besonders positiv hervorgehoben, dass es Kultur in der Oeffentlichkeit erlebbar macht, niederschwellig und gut zugaenglich ist und ueber ein ganzes Jahr laeuft. Der inklusive Charakter („jeder ist willkommen“) sowie der Austausch in einer vielfaeltigen Gemeinschaft werden als klare Staerken gesehen. Ausserdem wird geschaetzt, dass der Austausch von geschulten Fachpersonen begleitet wird und so Erfahren, Erleben, Anregen und Lernen ermoeglicht. Leicht kritisch wird vor allem der hohe Personalaufwand (80 % für eine Einzelperson) und die Frage nach den Einnahmen angesprochen. Insgesamt ist die Stimmung jedoch deutlich positiv, mit starker inhaltlicher Unterstuetzung und nur punktuellen Bedenken zur Ressourcenfrage.","The project 'Kreativwerkstatt' receives very high, nearly unanimous support with 5 out of 7 votes. Respondents particularly value that it makes culture visible and tangible in public space, is low-threshold and easily accessible, and runs continuously over a full year. The inclusive character ('everyone is welcome') and the exchange within a diverse community are seen as clear strengths. It is also appreciated that the exchange is accompanied by trained professionals, enabling experience, inspiration, and learning. Some concerns are raised about the high staffing effort (80% workload for a single person) and questions about revenue. Overall, sentiment is clearly positive, with strong substantive support and only selective concerns about resource implications.",Das Projekt 'Kreativwerkstatt' (104) wurde vom MES nicht finanziert. Die 5 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber 11'314.00 CHF und konnten damit die erforderlichen 30'724 CHF nicht decken.,"The project 'Kreativwerkstatt' (104) was not funded by MES. Its 5 supporters had a combined budget of 11,314.00 CHF, which was not enough to cover the required 30,724 CHF.",1,4,1,1
