Rank,Popularity_Rank,Project_ID,Title,Cost_CHF,Total_Utility,Support_Count,Mean_Score,MES_Rho,MES_Winner,Greedy_Winner,Method_Agreement,Unified_Explanation_Version,Unified_Explanation_DE,Unified_Explanation_EN,Qualitative_Rationale_DE,Qualitative_Rationale_EN,Algorithmic_Rationale_DE,Algorithmic_Rationale_EN,Vote_Ja,Vote_EherJa,Vote_EherNein,Vote_Nein,supporter_budget_at_consideration,Efficiency
1,1,095,Creative Robots Workshop,3800,10,6,1.143,380.0,Yes,Yes,Agree,3,"Die meisten Teilnehmenden fanden den Creative Robots Workshop wichtig, weil er Menschen unterschiedlichster Hintergründe zusammenbringt, Kreativität fördert und Gemeinschaft im öffentlichen Raum erlebbar macht. Das Projekt wurde von fast allen unterstützt, galt als klein, fein und mit plausiblen Kosten – deshalb wurde es im Verfahren klar finanziert.","Most participants valued the lantern parade because it brings very different people together, encourages creativity, and creates a strong sense of community in public space. The project was supported by almost everyone, seen as small, charming, and reasonably budgeted – which is why it was clearly funded in the process.","Das Projekt 'Creative Robots Workshop' (095) erhaelt mit 6 von 7 Stimmen eine sehr hohe, beinahe einstimmige Unterstuetzung. Die Stimmung in den Rueckmeldungen ist insgesamt klar positiv: Besonders hervorgehoben werden der Beitrag zur oeffentlichen Kultur, die Foerderung einer starken Gemeinschaft, der Mut zur kreativen Ueberraschung sowie das gemeinsame Erfahren, Erleben und Lernen. Positiv betont wird auch, dass das Projekt Menschen mit sehr unterschiedlichen Hintergruenden zusammenbringen und durch das Laternenbasteln kreative Prozesse anstossen kann. Der Umzug am Wochenende ermoeglicht zudem die Teilnahme von Kindern und verstaerkt das Gemeinschaftsgefuehl. Das Budget wird als plausibel beurteilt, einzelne Stimmen wuenschen sich, dass das Projekt kuenftig noch groesser werden koennte, was die grundsaetzliche Zustimmung weiter unterstreicht.","The project 'Creative Robots Workshop' (095) receives very high, nearly unanimous support with 6 out of 7 votes. Overall sentiment in the feedback is clearly positive: respondents particularly emphasize the project’s contribution to public culture, the strengthening of community, the encouragement of creative surprises, and the shared experiences of discovering, participating, and learning. It is seen as a way to bring together people from diverse backgrounds and to stimulate creativity through lantern making. Holding the parade on a weekend is viewed positively, as it allows children to participate and reinforces the sense of community. The budget is considered plausible, and some would even like to see the project grow larger in the future, which further underscores the strong overall approval.",Ergebnis für 'Creative Robots Workshop' (095): Das Projekt wurde vom MES finanziert. Es war günstig und effizient (Wert: 380.00).,Outcome for 'Creative Robots Workshop' (095): The project was funded by MES. It was affordable and efficient (Value: 380.00).,4,2,0,1,45234.0,380.0
2,5,056,Vorher und Jetzt,5000,8,5,0.714,625.0,Yes,Yes,Agree,3,"Viele fanden wichtig, dass Vorher und Jetzt Menschen durch Musik verbindet, Begegnungen im öffentlichen Raum ermöglicht und auch für Personen geeignet ist, die grosse Menschenmengen meiden. Einzelne fanden das Projekt zu professionell und stark durch Sponsoren getragen. Insgesamt war die Unterstützung aber deutlich: 5 von 7 Personen waren dafür, und das Projekt konnte mit dem verfügbaren Budget gut finanziert werden.","Many people liked that Vorher und Jetzt connects people through music, creates encounters in public space, and is also suitable for those who do not feel comfortable in large crowds. A few felt the project was too professional and already strongly supported by sponsors. Overall, support was clearly positive: 5 out of 7 people backed the project, and it could be funded easily with the available budget.","Das Projekt Vorher und Jetzt stösst auf eine sehr hohe Zustimmung: 5 von 7 Abstimmenden unterstützen das Vorhaben klar. Die quantitative Bewertung mit einem mittelhohen Durchschnittswert von 0.71 ergänzt dieses insgesamt positive Bild. In den Kommentaren wird besonders die Stärkung der Gemeinschaft durch musikalischen Austausch, Kultur im öffentlichen Raum und die Offenheit für verschiedene Personengruppen hervorgehoben. Gelobt werden zudem das intime, überschaubare Format, das auch Menschen anspricht, die sich in grossen Menschenmengen unwohl fühlen, sowie die bewusste Alternative zu grossen Festivals. Vereinzelt wird kritisch angemerkt, das Projekt wirke sehr professionell und stark durch Sponsoren getragen; eine Empfehlung lautet, eine mögliche Förderung um 20 % zu reduzieren. Insgesamt überwiegt jedoch deutlich die positive Haltung gegenüber dem Projekt.","The Vorher und Jetzt project enjoys very high support: 5 out of 7 voters clearly back the initiative. The quantitative evaluation, with a mid-to-high mean score of 0.71, reinforces this generally positive picture. Comments particularly highlight the strengthening of community through musical exchange, culture in public spaces, and inclusivity for diverse groups of people. The intimate, small-scale format is praised for appealing to individuals who feel uncomfortable in large crowds and for offering a deliberate counterpoint to big festivals. One critical voice notes that the project appears very professional and heavily sponsored, suggesting a 20% reduction if it is funded. Overall, however, the sentiment is clearly positive, with strong support for the project.",Ergebnis fuer 'Vorher und Jetzt' (056): Das Projekt wurde vom MES finanziert. Es war bezahlbar und effizient (Wert: 625.00).,Outcome for 'Vorher und Jetzt' (056): The project was funded by MES. It was affordable and efficient (Value: 625.00).,3,2,1,1,35035.0,625.0
3,6,019,Akustikfläche,5500,8,5,0.714,687.5,Yes,No,Disagree,3,"Mehrere Personen betonten positiv, dass das Festival Vielfalt und Inklusion fördert – etwa durch eine Inklusions-Beauftragte und vergünstigte Eintritte mit Begleitperson. Gleichzeitig wurde kritisch nachgefragt, ob bei nur rund 150 Eintritten und vielen ähnlichen Unplugged-Konzerten der Mehrwert gross genug ist. Insgesamt war die Unterstützung mit 5 von 7 Personen recht hoch, und das Projekt war im Verhältnis zum Nutzen vergleichsweise kostengünstig, deshalb wurde es finanziert.","Several people highlighted positively that the festival promotes diversity and inclusion, for example through an inclusion officer and reduced tickets with a companion. At the same time, some questioned whether, with only about 150 tickets and many similar unplugged concerts around, the added value is big enough. Overall, support was fairly high with 5 out of 7 people in favour, and the project was relatively low-cost for its benefit, so it was funded.","Das Projekt 'Akustikfläche' stoesst mit 5 von 7 Stimmen auf eine sehr hohe, nahezu einhellige Zustimmung. Die Bewertungen heben insbesondere den Mut zur Ueberraschung, den Erlebnis- und Lerncharakter sowie den Fokus auf kulturelle Teilhabe fuer eine vielfaeltige Bevoelkerung hervor. Positiv hervorgehoben werden die Inklusionsbeauftragte und die Moeglichkeit, das Festival guenstig und mit Begleitperson zu besuchen. Kritische Punkte betreffen vor allem die vergleichsweise geringe Zahl von rund 150 Eintritten und die Wahrnehmung, dass es sich um ein aehnliches Format wie andere Unplugged-Konzerte (bzw. Vorher und Jetzt/Restsignal) handelt, wobei einzelne Personen ein anderes Projekt staerker bevorzugen. Insgesamt ueberwiegt jedoch deutlich die Zustimmung, insbesondere im Hinblick auf Inklusion und kulturelle Vielfalt.","The 'Akustikfläche' project receives very high, nearly unanimous support, with 5 out of 7 votes in favour. Respondents particularly value its openness to surprises, its focus on experience and learning, and its emphasis on cultural participation for a diverse population. The presence of an inclusion officer and the possibility to attend at a reduced price with an accompanying person are seen as clear strengths. Critical remarks focus mainly on the relatively small audience size of around 150 entries and the perception that the format is similar to other unplugged events (e.g. Vorher und Jetzt/Restsignal), with some individuals personally preferring another project. Overall, however, the strong approval clearly dominates, especially regarding inclusion and cultural diversity.",Das Projekt 'Akustikfläche' (019) wurde vom MES finanziert. Es war kostengünstig und effizient (Wert: 687.50).,The project 'Akustikfläche' (019) was funded by MES. It was affordable and efficient (value: 687.50).,3,2,1,1,30280.0,687.5
4,4,126,Inklusive Museumsbesuche,20000,8,4,0.833,2701.5,Yes,Yes,Agree,3,"Zu «Inklusive Museumsbesuche» wurde positiv hervorgehoben, dass es mutig und stärkend ist und Inklusion sichtbar macht, gleichzeitig wurde kritisch angemerkt, dass Kinder und Jugendliche kaum profitieren und der beantragte Betrag für eine grössere Institution hoch wirkt. Vier von sieben Personen unterstützten das Projekt, und weil die Kosten von 20'000 CHF voll ins Budget passten und das Projekt im Vergleich viel Wirkung pro Franken bot, wurde es von MES finanziert.","People valued that “Inklusive Museumsbesuche” is bold, empowering, and makes inclusion possible in practice, while some criticised that children and young people are hardly included and that the requested amount seems high for a larger institution. Four out of seven people supported the project, and because the cost of CHF 20,000 fit fully into the budget and the project offered a lot of impact for the money, it was funded by MES.","Das Projekt 'Inklusive Museumsbesuche' stoesst mit 4 von 7 Stimmen auf eine klar mehrheitliche Zustimmung. Die Bewertungen heben insbesondere den mutigen und staerkenden Charakter hervor sowie den Beitrag zur gelebten Inklusion. Kritisch wird angemerkt, dass Kinder und Jugendliche nicht teilnehmen koennen und dass die Angebote zeitlich nur abends stattfinden. Zudem wird der beantragte Betrag von 20'000 CHF im Zusammenhang mit der Traegerschaft als relativ hoch beurteilt. Insgesamt ueberwiegt jedoch die positive Einschaetzung des Projekts und seines inklusiven Mehrwerts deutlich.","The project 'Inklusive Museumsbesuche' receives clear majority approval with 4 out of 7 votes. Respondents particularly emphasize its courageous and empowering nature and its contribution to lived inclusion. Critical points raised include the fact that children and adolescents cannot participate and that activities take place only in the evenings. In addition, the requested amount of CHF 20,000 is seen as relatively high in light of the size and capacity of the institution. Overall, the positive assessment of the project and its inclusive added value clearly predominates.",Das Projekt «Inklusive Museumsbesuche» (126) wurde von MES finanziert. Es war kostengünstig und effizient (Wert: 2701.50).,The project ‘Inklusive Museumsbesuche’ (126) was funded by MES. It was affordable and efficient (value: 2701.50).,4,0,1,1,20001.0,2500.0
5,2,129,Szenischer Vortrag,8000,7,6,0.857,1999.7499999999998,Yes,Yes,Agree,3,"Das Projekt wurde von fast allen Unterstützenden positiv bewertet, weil es einen bestehenden szenischen Vortrag erweitert und so mehr Menschen Zugang zu Wissen und Austausch ermöglicht. Besonders geschätzt wurden der Beitrag zu einer starken Gemeinschaft, zu kultureller Vielfalt und zum gemeinsamen Erleben. Aufgrund des guten Geschäftsergebnisses ist eine Budgetkürzung vorgesehen, das Projekt bleibt aber finanziert.","Almost all supporters rated this project positively because it expands an existing scenic lecture and gives more people access to knowledge and exchange. People especially valued its contribution to a strong community, cultural diversity, and shared experiences. Due to the good financial results, a budget reduction is planned, but the project remains funded.","Das Projekt stösst auf sehr grosse Zustimmung: 6 von 7 Stimmen sprechen sich dafür aus. Die Kommentierenden betonen eine gute Übereinstimmung mit den Förderkriterien (mit leichten Einschränkungen im Bereich «Kultur in der Öffentlichkeit», die jedoch anderweitig bereits abgedeckt wird). Positiv hervorgehoben werden der erweiterte Zugang zu Informationen, der Beitrag zu einer starken Gemeinschaft durch Austausch sowie die Förderung von kultureller Vielfalt und erfahrbarem Erleben. Das Budget wird grundsätzlich als in Ordnung beurteilt, wobei eine Kürzung von rund 20 % bei guter Geschäftslage vorgesehen ist.","The project enjoys very strong support: 6 out of 7 votes are in favor. Commenters emphasize a good alignment with the funding criteria (with minor reservations regarding “culture in public space,” which is considered to be covered elsewhere). Positively noted are the expanded access to information, the contribution to a strong community through exchange, and the promotion of cultural diversity and experiential learning. The budget is broadly seen as acceptable, with a potential reduction of around 20% envisaged in case of a good financial result.",Das Projekt Szenischer Vortrag (ID 129) wurde von MES unterstuetzt. Es war kostenguenstig und effizient mit einem Wert von 1999.75.,The project Szenischer Vortrag (ID 129) was funded by MES. It was cost-effective and efficient with a value of 1999.75.,1,5,1,0,18473.0,1142.86
6,7,040,Jubiläums-Bühne,10000,6,5,0.571,4061.25,Yes,No,Disagree,3,"Viele fanden wichtig, dass Theater Ariane einen Begegnungsort schafft, an dem Publikum und Schauspielerinnen und Schauspieler nach der Vorstellung ins Gespräch kommen können – das wurde als bereichernd und gemeinschaftsstärkend beschrieben. Das Projekt passt gut zum Förderkompass (starke Gemeinschaft, Mut zur Überraschung, Kultur für Personenvielfalt), das Budget wurde mehrheitlich als plausibel eingeschätzt. Mit der klaren Unterstützung von 5 von 7 Personen wurde das Projekt deshalb finanziert.","People especially valued that Theater Ariane creates a meeting place where the audience and the actors can talk with each other after the performance, which was seen as enriching and strengthening the community. The project fits well with the funding compass (strong community, openness to surprise, culture for diverse people), and the budget was mostly seen as plausible. With clear support from 5 out of 7 people, the project was therefore funded.","Die Zustimmung zu diesem Projekt ist mit 5 von 7 Stimmen sehr hoch und kommt einer beinahe einstimmigen Unterstützung gleich. Die Bewertungen betonen den Begegnungsort als Raum für Austausch und Gemeinschaft, der Mut zur Überraschung und das gemeinsame Erfahren, Erleben, Anregen und Lernen werden positiv hervorgehoben. Besonders geschätzt wird der direkte Dialog zwischen Schauspielerinnen und Schauspielern und Publikum nach der Vorstellung, was als seltene und bereichernde Qualität wahrgenommen wird. Das Projekt wird als Beitrag zu einer starken Gemeinschaft und zu Kultur für eine vielfältige Bevölkerung gesehen. Kritisch angemerkt werden Fragen zur Budgetplanung und fehlenden Einnahmen, jedoch ohne die insgesamt sehr positive Grundhaltung und hohe Zustimmung in Frage zu stellen.","Support for this project is very high, with 5 out of 7 votes, which is close to unanimous approval. The feedback highlights the venue as a place of encounter and exchange, with praise for its courage to surprise and its focus on shared experiencing, inspiring, and learning. In particular, the direct dialogue between actors and audience after the performance is seen as a rare and enriching quality. The project is perceived as contributing to strong community ties and to culture that embraces diversity. Some concerns are raised about the budget planning and the absence of revenues, but these do not fundamentally challenge the overall very positive attitude and high level of support.",Das Projekt «Jubiläums-Bühne» (040) wurde von MES unterstuetzt. Es war kostenguenstig und effizient (Wert: 4061.25).,The project “15 Years of Theater Ariane – we celebrate a place of encounter” (040) was funded by MES. It was affordable and efficient (value: 4061.25).,1,4,2,0,10473.0,1666.67
7,8,045,Wandmalereien am Stadion,20000,7,4,0.5,,No,No,Agree,3,"Viele fanden das Projekt sehr wertvoll, weil es Menschen zusammenbringt, Austausch fördert, Inklusion stärkt und alle Punkte des Förderkompasses gut trifft – für einige war es sogar ein echtes Herzensprojekt. Es hatte auch recht gute Unterstützung (4 von 7 Personen), aber die Unterstützerinnen und Unterstützer hatten zusammen mit rund 11'900 CHF deutlich weniger Geld zur Verfügung als die benötigten 20'000 CHF. Deshalb konnte das Projekt im MES-Verfahren trotz Sympathie nicht finanziert werden.
","Many people saw this project as very valuable, because it brings people together, encourages exchange, supports inclusion, and fits the funding guidelines very well – for some it was even a real “coup de coeur”. It also had fairly good support (4 out of 7 people), but the supporters only had about 11,900 CHF available together, clearly less than the 20,000 CHF needed. For this reason, the project could not be funded in the MES process, despite the positive feelings toward it.","Das Projekt 'Wandmalereien am Stadion' (045) stoesst mit 4 von 7 Stimmen auf deutliche Zustimmung. Die Rueckmeldungen betonen eine starke Uebereinstimmung mit allen Punkten des Foerderkompasses: Kultur im oeffentlichen Raum, Gemeinschaft und Austausch, Offenheit fuer Ueberraschungen sowie gemeinsames Erfahren, Erleben, Anregen und Lernen. Besonders hervorgehoben werden Inklusion, Vielfalt und das Zusammenbringen unterschiedlicher Menschen, die gemeinsam Selbstwirksamkeit erleben. Insgesamt wird das Projekt sehr positiv bewertet und sogar als persoenlicher Favorit ('coup de coeur') bezeichnet.","The project 'Wandmalereien am Stadion' (045) receives clear approval, with 4 out of 7 votes in favor. Feedback highlights a strong alignment with all aspects of the funding compass: culture in public spaces, building community and exchange, openness to surprise, as well as shared experiencing, exploration, inspiration, and learning. Inclusion, diversity, and bringing different people together to experience self-efficacy are particularly emphasized. Overall, the project is viewed very positively and even described as a personal favorite ('coup de coeur').","Ergebnis für 'Wandmalereien am Stadion' (045): Das Projekt wurde vom MES nicht finanziert. Die 4 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 11’939.00 CHF, was nicht ausreichte, um die benoetigten 20’000 CHF zu decken.","Outcome for 'Wandmalereien am Stadion' (045): The project was not funded by MES. Its 4 supporters had a combined budget of 11,939.00 CHF, which was not enough to cover the required 20,000 CHF.",3,1,0,2,11939.0,2857.14
8,13,081,Wall Signal,7330,6,4,0.143,,No,No,Agree,3,"Mehrere Personen fanden die Idee einer grossen, öffentlichen Wall Signal spannend, weil sie Austausch, Überraschung und Mitwirkung im Stadtraum ermöglicht – eine Person bezeichnete das Projekt sogar als einen ihrer beiden «coup de coeur». Gleichzeitig sahen andere es eher als Kommunikationsplattform denn als Kulturprojekt im engeren Sinn. Obwohl die Unterstützung im Kreis der Beteiligten relativ hoch war, reichte das gemeinsame Budget der 4 Unterstützerinnen und Unterstützer (7'160 CHF) knapp nicht aus, um die Projektkosten von 7'330 CHF zu decken, weshalb MES es nicht fördern konnte.
","Several people liked the idea of a large public wall newspaper, because it encourages exchange, surprise and participation in the city space – one person even called it one of their two “coup de coeur” projects. At the same time, others saw it more as a communication platform than a cultural project in the strict sense. Even though support among participants was relatively high, the combined budget of the 4 supporters (7,160 CHF) was just not enough to cover the project cost of 7,330 CHF, so MES could not fund it.","Das Projekt erhält mit 4 von 7 Stimmen eine eher positive, tendenziell zustimmende Bewertung. In den Kommentaren wird besonders geschätzt, dass die Wall Signal Kultur in der Öffentlichkeit sichtbar macht, Austausch und Gemeinschaft fördert, zur Überraschung ermutigt und ein niedrigschwelliges Mitmachplattform für viele unterschiedliche Personen ermöglicht – insbesondere in Zeiten mit hoher Publikumsfrequenz wie während der Musikfestwochen. Eine Person bezeichnet das Projekt sogar als einen ihrer beiden „coup de coeur“. Kritisch angemerkt wird, dass es eher als Kommunikationsplattform denn als klassisches Kulturprojekt wahrgenommen wird und nur einen Förderschwerpunkt des Kompasses klar erfüllt. Insgesamt überwiegt jedoch die positive Einschätzung, insbesondere was Zugänglichkeit, Beteiligung und Wirkung im öffentlichen Raum betrifft.","The project receives a somewhat positive, generally approving assessment, with 4 out of 7 voters in support. Commenters particularly value that the wall newspaper brings culture into public space, fosters exchange and community, encourages surprise, and offers a very low-threshold way for a wide range of people to participate – especially during periods of high foot traffic such as the music festival weeks. One person even describes the project as one of their two “coup de coeur” choices. On the critical side, some see it more as a communication platform than a traditional cultural project and note that it clearly fulfills only one funding focus of the compass. Overall, however, the positive view predominates, especially regarding accessibility, participation, and impact in public space.","Das Projekt ""Wall Signal"" (081) wurde nicht von MES gefoerdert. Die 4 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber ein Budget von 7’160.00 CHF und konnten damit die erforderlichen 7’330.00 CHF nicht decken.","The project ""Wall Signal"" (081) was not funded by MES. Its 4 supporters had a combined budget of 7,160.00 CHF, which was not enough to cover the required 7,330.00 CHF.",2,2,1,2,7160.0,1221.67
9,10,094,Slampoetry,18300,6,5,0.429,,No,No,Agree,3,"Viele fanden das Projekt sehr sinnvoll: Es bringt Menschen über Poetry Slam ins Gespräch, macht wichtige mentale Gesundheitsthemen zugänglich und schafft Kultur für unterschiedliche Personen. 5 von 7 Personen unterstützten das Projekt klar, aber sie hatten zusammen nur rund 13'700 CHF zur Verfügung, während das Projekt etwa 18'300 CHF gekostet hätte – diese Lücke war zu gross, sodass es trotz hoher Unterstützung nicht finanziert werden konnte.","Many people thought this was a very meaningful project: it brings people together through poetry slam, makes important mental health topics more accessible, and creates culture for diverse audiences. 5 out of 7 people clearly supported it, but together they only had about CHF 13,700 available, while the project cost around CHF 18,300 – this gap was too big, so it could not be funded despite the strong support.","Die Zustimmung zum Projekt ist mit 5 von 7 Stimmen sehr hoch und nahezu einhellig. Die Kommentare betonen vor allem die starke Gemeinschaft durch Austausch, den Mut zur Überraschung sowie das Erfahren, Erleben, Anregen und Lernen. Besonders positiv hervorgehoben werden die thematische Relevanz (Mental Health), die niederschwelligere Zugänglichkeit der Inhalte durch die spezielle Textform Poetry Slam und der Beitrag zu Kultur für Personenvielfalt. Kritisch angemerkt wird einzig die finanzielle Zugänglichkeit; es wird gewünscht, dass das Angebot für alle Menschen leistbar sein sollte. Insgesamt überwiegt klar die positive, unterstützende Haltung zum Projekt, bei gleichzeitigem Hinweis auf eine wünschenswerte Reduktion finanzieller Hürden.","Support for the project is very high, with 5 out of 7 voters in favor, indicating nearly unanimous approval. Comments emphasize the strength of community through exchange, the courage to embrace surprise, and the value of experiencing, inspiring, and learning together. The thematic focus on mental health and the use of poetry slam as an accessible textual form are seen as clear strengths, as is the contribution to cultural diversity and inclusion. The only notable criticism concerns financial accessibility, with the wish that the offer should be affordable for everyone. Overall, the sentiment is clearly positive and supportive, with a strong endorsement of the project and a side note that reducing financial barriers would further improve it.","Das Projekt ""Slampoetry"" (094) wurde von MES nicht gefoerdert. Die 5 Supporter verfuegten zusammen ueber ein Budget von 13’694.00 CHF und konnten damit die erforderlichen 18’300.00 CHF nicht decken.","The project ""Slampoetry"" (094) was not funded by MES. Its 5 supporters had a combined budget of 13,694.00 CHF, which was not enough to cover the required 18,300.00 CHF.",1,4,1,1,13694.0,3050.0
10,9,104,Offene Werkstatt,30724,6,5,0.429,,No,No,Agree,3,"Viele fanden die Offene Werkstatt spannend, weil sie offen für alle ist, Austausch fördert und ein niederschwelliges Kulturangebot über längere Zeit bietet. Das Projekt hatte hohe Unterstützung (5 von 7 Personen), war aber mit rund 30'700 CHF deutlich teurer, als die Unterstützerinnen und Unterstützer mit ihren rund 11'300 CHF gemeinsam abdecken konnten, und konnte darum im MES nicht finanziert werden.","Many people liked the Offene Werkstatt because it is open to everyone, encourages exchange, and offers low-threshold cultural activities over a longer period. The project had strong support (5 out of 7 people), but with a cost of about CHF 30,700 it was clearly more expensive than what its supporters could cover together with about CHF 11,300, so it could not be funded by the MES.","Das Projekt 'Offene Werkstatt' stoesst mit 5 von 7 Stimmen auf eine sehr hohe, beinahe einhellige Zustimmung. Inhaltlich wird besonders positiv hervorgehoben, dass es Kultur in der Oeffentlichkeit erlebbar macht, niederschwellig und gut zugaenglich ist und ueber ein ganzes Jahr laeuft. Der inklusive Charakter („jeder ist willkommen“) sowie der Austausch in einer vielfaeltigen Gemeinschaft werden als klare Staerken gesehen. Ausserdem wird geschaetzt, dass der Austausch von geschulten Fachpersonen begleitet wird und so Erfahren, Erleben, Anregen und Lernen ermoeglicht. Leicht kritisch wird vor allem der hohe Personalaufwand (80 % für eine Einzelperson) und die Frage nach den Einnahmen angesprochen. Insgesamt ist die Stimmung jedoch deutlich positiv, mit starker inhaltlicher Unterstuetzung und nur punktuellen Bedenken zur Ressourcenfrage.","The project 'Offene Werkstatt' receives very high, nearly unanimous support with 5 out of 7 votes. Respondents particularly value that it makes culture visible and tangible in public space, is low-threshold and easily accessible, and runs continuously over a full year. The inclusive character ('everyone is welcome') and the exchange within a diverse community are seen as clear strengths. It is also appreciated that the exchange is accompanied by trained professionals, enabling experience, inspiration, and learning. Some concerns are raised about the high staffing effort (80% workload for a single person) and questions about revenue. Overall, sentiment is clearly positive, with strong substantive support and only selective concerns about resource implications.",Das Projekt 'Offene Werkstatt' (104) wurde vom MES nicht finanziert. Die 5 Unterstuetzerinnen und Unterstuetzer verfuegten zusammen ueber 11'314.00 CHF und konnten damit die erforderlichen 30'724 CHF nicht decken.,"The project 'Offene Werkstatt' (104) was not funded by MES. Its 5 supporters had a combined budget of 11,314.00 CHF, which was not enough to cover the required 30,724 CHF.",1,4,1,1,11314.0,5120.67
