Voter_ID,Project_ID,Title,Vote,Funded,Amount_Paid_CHF,Budget_Before_Step_CHF,Budget_After_Step_CHF,Voter_Endowment,Individual_Outcome_Reason_DE,Individual_Outcome_Reason_EN
MIH,028,BESENKAMMERSPIELE,Ja,Yes,1272.73,7000.0,5727.27,7000.0,,
MIH,013,Inklusive lauschig-Lesungen,Ja,Yes,1454.55,5727.27,4272.73,7000.0,,
MIH,071,Chunsch z'Tisch?,Ja,Yes,1600.0,4272.73,2672.73,7000.0,,
MIH,082,"Materia - ein klanglicher und musikalischer Blick auf Material, Erde und Ambiguität des Existierens.",Ja,Yes,88.89,2672.73,2583.84,7000.0,,
MIH,053,Das gehört gehört - 2. Staffel,EherJa,Yes,608.89,2583.84,1974.95,7000.0,,
MIH,023,Jungkunst für alle,EherJa,Yes,1428.57,1974.95,546.38,7000.0,,
MIH,105,FRAUENSACHE/Chorische SUITE_ZH ,EherJa,Yes,333.33,546.38,213.04,7000.0,,
MIH,032,Kulthur – Bunte Kulturstadt Winterthur | Kulturstadtkarte für Winterthur,EherJa,No,0.0,213.04,213.04,7000.0,"Das Projekt 'Kulthur – Bunte Kulturstadt Winterthur | Kulturstadtkarte für Winterthur' (032) kostet 14970 CHF und hatte 5 Unterstuetzerinnen und Unterstuetzer. Damit dein persoenliches Budget Sinn macht, sollte es moeglichst vielen Leuten zugutekommen. Dein verbleibendes Budget von 213.04473304473248 CHF reicht bei weitem nicht aus, um ein so teures Projekt allein zu tragen. Darum wurde dieses Projekt in deiner Auswahl nicht finanziert – mit deinem Restbudget konntest du kleinere oder besser unterstuetzte Projekte gezielter foerdern.","The project 'Kulthur – Bunte Kulturstadt Winterthur | Kulturstadtkarte für Winterthur' (032) costs 14970 CHF and had 5 supporters. For your personal budget to have an impact, it should benefit as many people as possible. Your remaining budget of 213.04473304473248 CHF is far from enough to fund such an expensive project on your own. That is why this project was not funded in your selection – with your remaining budget, you could support smaller or more widely backed projects more effectively."
MIH,111,HIDDEN SOUNDS,EherJa,No,0.0,213.04,213.04,7000.0,"Das Projekt 'HIDDEN SOUNDS' (111) hat 23197 CHF gekostet, aber nur 6 Unterstuetzer gefunden. Dein uebriger Budgetanteil von 213.04473304473248 CHF war viel zu klein im Vergleich zu den noetigen 23197 CHF. Weil allgemein sehr wenige Leute Geld auf dieses Projekt gelegt haben, kam insgesamt nicht genug zusammen, um es zu finanzieren. Darum konnte die MES dieses Projekt nicht foerdern.","The project 'HIDDEN SOUNDS' (111) cost 23197 CHF but had only 6 supporters. Your remaining budget share of 213.04473304473248 CHF was far too small compared with the 23197 CHF needed. Since very few people put money on this project overall, the total collected was not enough to fund it. That is why MES did not finance this project."
MIH,057,Blütenzeit,EherJa,No,0.0,213.04,213.04,7000.0,"Das Projekt 'Blütenzeit' (057) kostet 11920 CHF, wird aber nur von 5 Personen unterstuetzt. Mit deinem restlichen Budget von 213.04473304473248 CHF reicht dein Anteil bei weitem nicht, um dieses relativ teure Projekt genug zu tragen. Das MES foerdert in der Regel Projekte, bei denen die Kosten besser zum Unterstuetzerkreis passen. Darum wurde 'Blütenzeit' trotz 5 Unterstuetzern und den 11920 CHF Projektkosten nicht finanziert.","The project 'Blütenzeit' (057) costs 11920 CHF but is supported by only 5 people. With your remaining budget of 213.04473304473248 CHF, your share is far from enough to help cover such an expensive project. The MES usually funds projects where the costs are better matched to the number of supporters. Therefore, despite having 5 supporters and total costs of 11920 CHF, 'Blütenzeit' was not funded."
MIH,062,Klangkartografien – hörbare Räume,Ja,No,0.0,213.04,213.04,7000.0,"Das Projekt 'Klangkartografien – hörbare Räume' (062) kostet 7500 CHF und hat 5 Unterstuetzerinnen und Unterstuetzer. Dein uebriger Stimmbetrag von 213.04473304473248 CHF reicht allein nicht aus, um ein so teures Projekt genug zu staerken. Auch insgesamt hat das Projekt im Vergleich zu anderen nur wenig Unterstuetzung (5 Personen). Darum hat das MES zuerst Projekte gefoerdert, die entweder mehr Leute unterstuetzt haben oder besser ins Gesamtbudget gepasst haben. So blieb fuers Projekt 062 am Schluss leider kein Geld uebrig.","The project 'Klangkartografien – hörbare Räume' (062) costs 7500 CHF and has 5 supporters. Your remaining voting budget of 213.04473304473248 CHF on its own is not enough to strengthen such an expensive project. Overall, the project also received relatively low support (5 people) compared to others. For this reason, MES first funded projects that either had more supporters or fit better into the overall budget. In the end, there was no money left for project 062."
MIH,117,Dialogplatzkonzerte 2027,Ja,No,0.0,213.04,213.04,7000.0,"Das Projekt 'Dialogplatzkonzerte 2027' (117) kostet 15900 CHF und hatte nur 5 Unterstuetzerinnen und Unterstuetzer. Mit so wenigen Stimmen im Vergleich zu anderen Projekten war seine Prioritaet im Verfahren zu tief. Ausserdem reicht dein verbleibendes Budget von 213.04473304473248 CHF bei weitem nicht, um ein so teures Projekt zu finanzieren. Darum konnte das MES dieses Projekt nicht beruecksichtigen.","The project 'Dialogplatzkonzerte 2027' (117) costs 15900 CHF and had only 5 supporters. With so few votes compared to other projects, its priority in the process was too low. In addition, your remaining budget of 213.04473304473248 CHF is far from enough to fund such an expensive project. That is why the MES could not fund this project."
MIH,103,ECHO – Listening Sessions & Gespräche,Ja,No,0.0,213.04,213.04,7000.0,"Projekt 'ECHO – Listening Sessions & Gespräche' (103) het 8500 CHF koschtet und nume 4 Supporter gha. Will dini verblibendi Budget vo 213.04473304473248 CHF viel z chli isch im Verglich zu däne 8500 CHF, isch s finanziell nöd drin glii gsi und drum isch s Projekt nöd vom MES understïtzt worde.","The project 'ECHO – Listening Sessions & Gespräche' (103) cost 8500 CHF and had support from only 4 people. Since your remaining budget of 213.04473304473248 CHF was far too small compared to the 8500 CHF needed, it was not financially possible to support this project, so it was not funded by the MES."
MIH,068,Freude und Heiterkeit in Alterszentren,EherJa,No,0.0,213.04,213.04,7000.0,Das Projekt 'Freude und Heiterkeit in Alterszentren' (068) kostet 15000 CHF und hat 6 Unterstuetzerinnen und Unterstuetzer. Mit deinem restlichen Budget von 213.04473304473248 CHF hättest du dieses Projekt alleine nicht finanzieren koennen – dein verfuegbares Budget ist viel zu klein im Vergleich zu den 15000 CHF Projektkosten. Darum wurde dieses Projekt in der MES-Auswertung nicht beruecksichtigt.,"The project 'Freude und Heiterkeit in Alterszentren' (068) costs 15000 CHF and has 6 supporters. With your remaining budget of 213.04473304473248 CHF, you could not have funded this project on your own – your available budget is far too small compared to the 15000 CHF project cost. Therefore, this project was not included for funding in the MES evaluation."
