Voter_ID,Project_ID,Title,Vote,Funded,Amount_Paid_CHF,Budget_Before_Step_CHF,Budget_After_Step_CHF,Voter_Endowment,Individual_Outcome_Reason_DE,Individual_Outcome_Reason_EN
MAP,095,Laternenumzug,Ja,Yes,760.0,7539.0,6779.0,7539.0,,
MAP,056,ANTE,Ja,Yes,1250.0,6779.0,5529.0,7539.0,,
MAP,019,Winterthur Unplugged Festival,EherJa,Yes,687.5,5529.0,4841.5,7539.0,,
MAP,126,Kulturbegleitung OnThur,Ja,Yes,4841.5,4841.5,0.0,7539.0,,
MAP,129,"""Vitodura zu Besuch"" - Szenischer Vortrag (Arbeitstitel)",EherJa,Yes,0.0,0.0,0.0,7539.0,,
MAP,040,15 Jahre Theater Ariane – wir feiern einen Begegnungsort,EherJa,Yes,0.0,0.0,0.0,7539.0,,
MAP,045,Don't be Cool – be Warm!,Ja,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Don't be Cool – be Warm!' (045) kostet 20000 CHF und hat 4 Unterstützerinnen und Unterstützer. Dein restliches Budget ist 0.0 CHF, darum kannst du keinen Beitrag mehr an dieses Projekt geben. Ohne Geld aus deinem Budget kann das MES das Projekt nicht finanzieren, auch wenn es einige Unterstützende hat.","The project 'Don't be Cool – be Warm!' (045) costs 20000 CHF and has 4 supporters. Your remaining budget is 0.0 CHF, so you cannot allocate any money to this project. Without funds from your budget, the MES cannot finance the project, even though it has some supporters."
MAP,081,Die grösste Wandzeitung Winterthurs,Ja,No,0.0,0.0,0.0,7539.0,"Du hesch dis ganzes Budget scho ufdandert, drum hättisch die 7_330 CHF für s Projekt 'Die grösste Wandzeitung Winterthurs' nümme chönne iibringe. Zudem händ nur 4 Unterstützerinne und Unterstützer das Projekt gwählt – für s MES isch das z wenig Rückhalt, vor allem bimene so hohe Betrag. So isch s Projekt am Schluss nöd i d Förderig cho.","You had already fully used up your budget, so you could no longer allocate the 7,330 CHF needed for the project 'Die grösste Wandzeitung Winterthurs'. In addition, only 4 supporters chose this project – for the MES this is too little backing, especially for such a high amount. For these reasons, the project was ultimately not funded."
MAP,094,Slamstörung – Poetry Slam x Mental Health,EherJa,No,0.0,0.0,0.0,7539.0,"Dein Budget isch scho ufgebraucht, drum hesch du nüt meh chönne a 'Slamstörung – Poetry Slam x Mental Health' (094) zuewiese. S Projekt het 18300 CHF koschtet und nume 5 Unterstützer gha. Vilicht hesch drum dini Stimm lieber a anderi Projekte verteilt, wo meh Lüüt wichtig gfunde hend oder wo besser zu dine Prioritäte passt hend.","Your budget was already used up, so you couldn’t allocate anything more to 'Slamstörung – Poetry Slam x Mental Health' (094). The project cost 18,300 CHF and had only 5 supporters. You probably decided to give your votes to other projects that more people cared about or that matched your priorities better."
MAP,104,Kreativwerkstatt,EherJa,No,0.0,0.0,0.0,7539.0,"Das Projekt 'Kreativwerkstatt' (104) kostet 30724 CHF und hatte 5 Unterstuetzerinnen und Unterstuetzer. Damit es vom MES finanziert wird, braucht es genug Rueckhalt in der Bevoelkerung und es muss ins verfuegbare Gesamtbudget passen. Bei nur 5 Unterstuetzenden hatte das Projekt im Vergleich zu anderen Vorhaben zu wenig Stimmen. Zudem ist dein eigenes Budget bereits bei 0.0 CHF, du kannst also selbst nichts mehr dazu beitragen. Darum wurde die 'Kreativwerkstatt' in dieser Runde nicht beruecksichtigt.","The project 'Kreativwerkstatt' (104) costs 30724 CHF and had 5 supporters. For MES funding, a project needs enough backing from residents and must fit within the available overall budget. With only 5 supporters, this project had too little support compared with other proposals. In addition, your personal budget is already at 0.0 CHF, so you cannot contribute to it yourself. For these reasons, 'Kreativwerkstatt' was not funded in this round."
