Voter_ID,Project_ID,Title,Vote,Funded,Amount_Paid_CHF,Budget_Before_Step_CHF,Budget_After_Step_CHF,Voter_Endowment,Individual_Outcome_Reason_DE,Individual_Outcome_Reason_EN
EHC,051,Förderpool Kultur,Ja,Yes,500.0,7498.0,6998.0,7498.0,,
EHC,109,Musikfestival auf dem Hügel,Ja,Yes,857.14,6998.0,6140.86,7498.0,,
EHC,001,Nebelphase,EherJa,Yes,666.67,6140.86,5474.19,7498.0,,
EHC,108,Märcheprogramm mit Musik,Ja,Yes,3333.33,5474.19,2140.86,7498.0,,
EHC,054,Herbststück 27,EherJa,Yes,1000.0,2140.86,1140.86,7498.0,,
EHC,119,Bandprojekt GOAT,EherJa,Yes,490.0,1140.86,650.86,7498.0,,
EHC,048,Festival Resonanz,EherJa,Yes,650.86,650.86,0.0,7498.0,,
EHC,096,Freies Theater Fuego,EherJa,Yes,0.0,0.0,0.0,7498.0,,
EHC,004,Ausstellung Zwischenräume,Ja,No,0.0,0.0,0.0,7498.0,"Das Projekt 'Ausstellung Zwischenräume' (004) kostet 23100 CHF und hat 6 Unterstuetzerinnen und Unterstuetzer. Du hast aber bereits dein ganzes Budget aufgebraucht (verbleibendes Budget: 0.0 CHF). Darum konntest du dieses Projekt nicht mehr mitfinanzieren, und es wurde von dir nicht gefoerdert.","The project 'Ausstellung Zwischenräume – accompanying projects for youth, culture and social awareness' (004) costs 23100 CHF and has 6 supporters. However, you have already used up all of your budget (remaining budget: 0.0 CHF). Therefore, you could not allocate any money to this project, and it was not funded by you."
EHC,098,Migrationsstimmen Archiv,EherJa,No,0.0,0.0,0.0,7498.0,"Das Projekt 'Migrationsstimmen Archiv' (098) hat 15000 CHF gekostet und wurde nur von 7 Leuten unterstuetzt. Im MES-Verfahren werden zuerst Projekte mit vielen Unterstuetzenden und gut gedeckten Kosten beruecksichtigt. Dein eigenes Budget ist mit 0.0 CHF bereits voll ausgeschoepft, du konntest also nichts mehr beitragen. Weil insgesamt zu wenig Geld und zu wenig breite Unterstuetzung zusammenkamen, reichte es nicht, um die 15000 CHF zu finanzieren – darum wurde das Projekt nicht gefoerdert.","The project 'Migrationsstimmen Archiv' (098) cost 15000 CHF and was supported by only 7 people. In the MES procedure, projects with more supporters and better covered costs are prioritised. Your own budget is already fully used at 0.0 CHF, so you could not add anything more. Because there was not enough money and not enough broad support overall to reach the 15000 CHF, the project could not be funded."
EHC,135,Tischtennis meets Kunst,Ja,No,0.0,0.0,0.0,7498.0,"EHC, s Projekt 'Tischtennis meets Kunst' het 8000 CHF koschtet und nume 5 Supporter gha. Wil dis Budget scho uf 0.0 CHF isch und du kei Mittel meh frei gha hesch, het d MES das Projekt nöd chenne mit dini Stimme finanziera. Mit dim verbrauchte Budget hesch praktisch e Priorisierig vo andere Projekte gmacht, drum isch für die 8000 CHF kei Spielruum meh blibe.","EHC, the project 'Tischtennis meets Kunst' cost 8000 CHF and had only 5 supporters. Since your budget was already at 0.0 CHF and you had no funds left, MES could not fund this project with your vote. By using up your budget on other projects, you effectively prioritized them, so there was no room left for these 8000 CHF."
EHC,074,Objektstudie Tisch,EherJa,No,0.0,0.0,0.0,7498.0,"Das Projekt 'Objektstudie Tisch' (074) hat insgesamt 9692 CHF gekostet und nur 5 Unterstuetzerinnen und Unterstuetzer gefunden. Beim MES-Verfahren zaehlt vor allem, wie viele Leute ein Projekt mit ihrem Budget mittragen und ob dein eigenes Budget dafuer reicht. In deinem Fall war dein uebriges Budget bereits bei 0.0 CHF, also konntest du nichts mehr zu diesem Projekt beitragen. Zusammen mit den insgesamt sehr wenigen 5 Unterstuetzenden hat das dazu gefuehrt, dass das Projekt nicht genug finanzielle Mittel gesammelt hat, um vom MES finanziert zu werden.","The project 'Objektstudie Tisch' (074) had a total cost of 9692 CHF and received support from only 5 people. In the MES process, what matters is how many people back a project with their budgets and whether your own remaining budget is sufficient. In your case, your remaining budget was already 0.0 CHF, so you could not contribute anything to this project. Together with the very small total of 5 supporters, this meant the project did not gather enough funding to be financed by the MES."
EHC,069,Error Bloom,EherJa,No,0.0,0.0,0.0,7498.0,"Das Projekt 'Error Bloom' (069) kostet 5000 CHF und hatte 4 Unterstuetzerinnen und Unterstuetzer. Dein persoenliches Budget war aber schon auf 0.0 CHF, also hattest du keinen freien Betrag mehr, um dieses Projekt mitzufinanzieren. Weil zu wenige Leute genug Budget fuer dieses Projekt eingesetzt haben, konnte der MES es insgesamt nicht voll finanzieren. Darum wurde 'Error Bloom' nicht gefoerdert.","The project 'Error Bloom' (069) costs 5000 CHF and had 4 supporters. Your personal budget was already at 0.0 CHF, so you had no remaining amount to help fund this project. Because too few people allocated enough of their budget to cover the full 5000 CHF, the MES could not finance the project. That is why 'Error Bloom' was not funded."
EHC,024,Montagskonzerte,EherJa,No,0.0,0.0,0.0,7498.0,"Das Projekt 'Montagskonzerte ' (024) kostet 7000 CHF und hatte nur 4 Unterstuetzerinnen und Unterstuetzer. Bei so wenigen Leuten, die dahinter stehen, hat es im Vergleich zu anderen Projekten zu wenig Rueckhalt. Ausserdem ist dein persoenliches Budget bereits bei 0.0 CHF, du kannst also nichts mehr beitragen. Darum wurde dieses Projekt vom MES nicht beruecksichtigt.","The project 'Montagskonzerte ' (024) costs 7000 CHF and had only 4 supporters. With so few people backing it, it had too little support compared with other projects. In addition, your personal budget is already at 0.0 CHF, so you cannot contribute anything more. For these reasons, this project was not funded by the MES."
EHC,114,Zuhörraum,Ja,No,0.0,0.0,0.0,7498.0,"Das Projekt 'Zuhörraum' (114) kostet 25000 CHF. Es hatten nur 3 Personen dieses Projekt unterstuetzt. In diesem Verfahren zaehlen zwei Dinge: genug Unterstuetzung von vielen Leuten und genug Geld im Gesamtbudget. Beides hat hier nicht gereicht. Darum konnte das MES dieses Projekt nicht beruecksichtigen, auch wenn es inhaltlich spannend sein mag.","The project 'Zuhörraum' (114) costs 25000 CHF. Only 3 people supported this project. In this funding process, two things are important: enough support from many people and enough money in the overall budget. Both were missing here. That is why the MES could not fund this project, even if it might be interesting in terms of content."
EHC,115,Wir sind viele,EherJa,No,0.0,0.0,0.0,7498.0,Projekt 115 'Wir sind viele' kostet 20000 CHF und hat 4 Unterstuetzerinnen und Unterstuetzer. Deine uebrigen Mittel waren aber schon bei 0.0 CHF. Darum konnte das MES dieses Projekt in deiner Auswahl nicht mehr beruecksichtigen und es wurde nicht finanziert.,"Project 115 'Wir sind viele' costs 20000 CHF and has 4 supporters. However, your remaining budget was already 0.0 CHF. Therefore, the MES could not include this project in your selection anymore and it was not funded."
EHC,042,Heftlabor,EherJa,No,0.0,0.0,0.0,7498.0,Das Projekt 'Heftlabor' (042) kostet 10400 CHF und hatte 3 Unterstuetzerinnen und Unterstuetzer. Du hast dein verfuegbares Budget bereits voll ausgeschoepft (0.0 CHF uebrig). Darum konntest du mit deinem persoenlichen Budget nichts mehr zu diesem Projekt beitragen und es wurde im Rahmen deiner Mittel nicht beruecksichtigt.,"The project 'Heftlabor' (042) costs 10400 CHF and had 3 supporters. You already used up all of your available budget (0.0 CHF left). Therefore, you could not contribute anything more to this project with your personal budget, and it was not funded within the limits of your funds."
EHC,097,Auf der Station,EherJa,No,0.0,0.0,0.0,7498.0,"Projekt 097 'Auf der Station' wurde nid finanziert, will dini verbliebene Budget 0.0 CHF isch. Du chasch drum nüt meh dür s MES mitfinanziere. S Projekt hätt 13000 CHF bruuucht und nume 7 Unterstützer gha. Wahrscheinlich händ anderi Projekte mit meh Unterstützern oder besserer Passig zu dine Prioritäte din Budget verbraucht, bevor die 13000 CHF no hätted cho chenne.","Project 097 'Auf der Station' was not funded because your remaining budget was 0.0 CHF. So you could not co-fund anything more via the MES. The project needed 13000 CHF and had only 7 supporters. Most likely, other projects with more supporters or a closer fit to your priorities used up your budget before these 13000 CHF could be allocated."
FJR,051,Förderpool Kultur,Ja,Yes,500.0,7498.0,6998.0,7498.0,,
FJR,109,Musikfestival auf dem Hügel,Ja,Yes,857.14,6998.0,6140.86,7498.0,,
FJR,001,Nebelphase,Ja,Yes,1333.33,6140.86,4807.52,7498.0,,
FJR,108,Märcheprogramm mit Musik,EherJa,Yes,1666.67,4807.52,3140.86,7498.0,,
FJR,054,Herbststück 27,Ja,Yes,2000.0,3140.86,1140.86,7498.0,,
